代號,名稱,持股資料月份,全體董監持股(%),全體董監質押(%)
1235,興泰,15M04,6.12%,0%
2504,國產,15M04,6.05%,15.4%
6432,今展科,15M04,40.6%,0%
5305,敦南,15M04,6.59%,0%
4153,鈺緯,15M04,23.9%,0%
1591,F-駿吉,15M04,28.4%,0%
5317,凱美,15M04,27.1%,0%
6133,金橋,15M04,25.5%,7.04%
4205,中華食,15M04,27%,0%
5706,鳳凰,15M04,20%,20.1%
2355,敬鵬,15M04,14.3%,0%
3376,新日興,15M04,15.6%,19%
2303,聯電,15M04,6.15%,22.4%
8072,陞泰,15M04,39.2%,0%
3041,揚智,15M04,0.37%,0%
1777,生泰,15M04,25.8%,0%
6194,育富,15M04,20.9%,0%
1409,新纖,15M04,5.7%,84.6%
2913,農林,15M04,7.76%,3.8%
1711,永光,15M04,22.6%,0%
2729,瓦城,15M04,50.7%,0%
6125,廣運,15M04,24.2%,0%
3481,群創,15M04,2.33%,1.72%
2308,台達電,15M04,6.29%,0%
2002,中鋼,15M04,20.5%,0.29%
8349,恒耀,15M04,44%,7.67%
8930,青鋼,15M04,25.2%,0%
9942,茂順,15M04,16.9%,0%
8299,群聯,15M04,18.3%,17%
1504,東元,15M04,8.38%,26.6%
5474,聰泰,15M04,17.6%,0%
4164,承業醫,15M04,28%,41.3%
8024,佑華,15M04,16.3%,0%
4175,杏一,15M04,43.5%,0%
1459,聯發,15M04,16.2%,40.5%
8066,來思達,15M04,29.1%,0%
