排名,代號,名稱,市場,股本(億),市值(億),上市年數,產業別,董事長,總經理,
452,6220,岳豐,櫃,12.5,76,14.5,電子零組件業,葉春榮,林森褔,
453,2323,中環,市,188,75.7,25.4,光電業,翁明顯,翁明顯,
454,2731,雄獅,市,7,75.6,3.8,觀光事業,王文傑,裴信祐,
455,9911,櫻花,市,22.1,75.4,25,其他業,張永杰,林有土,
456,2706,第一店,市,45,75.2,26,觀光事業,顧安生,徐小華,
457,9943,好樂迪,市,14.7,75,14.9,觀光事業,顏瓊章,鄭景文,
458,1447,力鵬,市,91.4,74.9,25.4,紡織纖維,郭紹儀,郭紹儀,
459,3049,和鑫,市,73.7,74.8,14.8,光電業,馬維欣,吳許合,
460,4746,台耀,市,8.92,74.7,6.4,生技醫療業,程正禹,程正禹,
461,2062,橋椿,市,16.4,74.7,9.6,其他業,楊慶祺,楊慶祺,
462,2314,台揚,市,21.5,74.2,26.9,通信網路業,謝其嘉,顏信介,
463,2010,春源,市,64.8,73.8,27.5,鋼鐵工業,李文隆,蔡錫奇,
464,4994,傳奇,市,11.1,73.7,3.5,資訊服務業,張峰旗,周俊男,
465,5512,力麒,櫃,74.4,72.9,18.6,建材營造業,郭淑珍,郭淑珍,
466,8050,廣積,櫃,12,72.8,13.7,電腦及週邊設備業,林秋旭,吳玉成,
467,3176,基亞,櫃,13.9,72.8,5.6,生技醫療業,張世忠,鄭毓仁,
468,3679,新至陞,市,7.93,72.8,5.8,電子零組件業,陳標福,蔡建勝,
469,8163,達方,市,28,72.5,9.6,電腦及週邊設備業,蘇開建,蘇開建,
470,9926,新海,市,18,72.4,19.2,油電燃氣業,謝榮富,游明俊,
471,6278,台表科,市,29.5,72.4,6.9,光電業,伍開雲,伍開雲,
472,4960,奇美材,市,51.6,72.2,5.7,光電業,何昭陽,何昭陽,
473,5469,瀚宇博,市,45,71.8,13.9,電子零組件業,焦佑衡,姜振文,
474,6582,申豐,市,10.4,71.8,0.1,橡膠工業,邱秀瑩,許志民,
475,6223,旺矽,櫃,7.96,71.8,14.5,半導體業,葛長林,郭遠明,
476,1264,德麥,櫃,3.06,71.4,2.2,食品工業,林雪嬌,吳文欽,
477,3541,西柏,櫃,4.48,71.3,7.5,其他電子業,蔡正義,闕河堯,
478,2926,誠品生活,櫃,4.74,71.1,4.4,貿易百貨業,吳清友,吳旻潔,
479,4912,聯德控股-KY,市,3.95,71,2.1,電子零組件業,徐啟峰,徐啟峰,
480,2329,華泰,市,80.6,70.8,23.2,半導體業,杜紹堯,董悅明,
481,6283,淳安,市,12.8,70.4,9.5,通信網路業,秦國峰,秦國峰,
482,1902,台紙,市,40.2,70.1,55.4,造紙工業,許良宇,余美玲,
483,2402,毅嘉,市,33.7,69.8,17.5,電子零組件業,黃秋永,孫永祥,
484,3454,晶睿,市,7.99,69.5,6,光電業,陳文昌,陳文昌,
485,6192,巨路,市,11.9,69.3,12.8,其他電子業,林建國,周行,
486,9934,成霖,市,35.2,69.3,16.8,其他業,歐陽明,ANDREW YATES,
487,3324,雙鴻,櫃,7.96,69.1,12.2,其他電子業,林育申,徐健洲,
488,2929,淘帝-KY,市,7.03,68.9,3.5,貿易百貨業,周訓財,周志鴻,
489,3587,閎康,櫃,5.33,68.8,7.9,其他電子業,謝詠芬,謝詠芬,
490,5349,先豐,櫃,22.4,68.7,19,電子零組件業,鄭文鋒,鄭文鋒,
491,3558,神準,櫃,4.91,68.7,3.5,通信網路業,蔡文河,林伯彰,
492,2832,台產,市,36.2,68.6,19.8,保險業,李泰宏,宋道平,
493,3289,宜特,櫃,6.25,68.4,12.5,其他電子業,余維斌,余維斌,
494,9942,茂順,市,8.32,68.4,15.4,其他業,石正復,石銘耀,
495,3078,僑威,櫃,22.7,67.9,12.4,電子零組件業,潘君威,楊琇華,
496,1583,程泰,市,11,67.8,9.5,電機機械,楊德華,許福助,
497,1218,泰山,市,35.3,67.5,27.7,食品工業,詹逸宏,詹景超,
498,3515,華擎,市,11.5,67.4,9.7,電腦及週邊設備業,童旭田,許隆倫,
499,3520,振維,櫃,6.4,67.2,9.7,電子零組件業,王博諒,陳奮賢,
500,6196,帆宣,市,17.2,67.2,13.1,其他電子業,高新明,林育業,
501,2102,泰豐,市,47.3,67.2,38,橡膠工業,馬述健,馬述健,
502,1614,三洋電,市,26.9,67,19.8,電器電纜,李文峰,李文琳,
503,3059,華晶科,市,27.4,67,14.5,光電業,夏汝文,夏汝文,
504,4935,茂林-KY,市,13.1,66.9,5.9,光電業,李滿祥,王清霖,
