排名,代號,名稱,市場,股價日期,當日走勢,成交,漲跌價,漲跌幅,成交張數,面值(元),股本(億),市值(億),成立年數,上市年數,產業別,董事長,總經理
27,2207,和泰車,市,07/06,    ,379.5,-3.5,-0.91%,225,10,54.6,2073,62.2,20.4,汽車工業,黃南光,蘇純興
28,5880,合庫金,市,07/06,    ,16.3,0,0%,8787,10,1185,1931,5.6,5.6,金控業,廖燦昌,林士朗
29,2880,華南金,市,07/06,    ,17.6,-0.1,-0.56%,7303,10,1052,1852,15.5,15.5,金控業,吳當傑,羅寶珠
30,2303,聯電,市,07/06,    ,14.45,0.05,+0.35%,66014,10,1262,1824,37.1,32,半導體業,洪嘉聰,簡山傑、王石
31,2884,玉山金,市,07/06,    ,18.65,-0.15,-0.8%,22946,10,947,1765,15.4,15.4,金控業,黃永仁,黃男州
32,2885,元大金,市,07/06,    ,13.75,-0.05,-0.36%,13936,10,1210,1664,15.4,15.4,金控業,王榮周,申鼎籛
33,3481,群創,市,07/06,    ,15.85,-0.25,-1.55%,79793,10,995,1577,14.5,10.7,光電業,王志超,蕭志弘
34,2801,彰銀,市,07/06,    ,17.35,-0.2,-1.14%,3470,10,896,1555,67,55.4,銀行業,張明道,施建安
35,2325,矽品,市,07/06,    ,49.7,-0.1,-0.2%,2555,10,312,1549,33.1,24.2,半導體業,林文伯,蔡祺文
36,2408,南亞科,市,07/06,    ,55,0,0%,15096,10,275,1512,22.3,16.9,半導體業,吳嘉昭,李培瑛
37,2887,台新金,市,07/06,    ,13.95,0,0%,24223,10,1036,1445,15.4,15.4,金控業,吳東亮,饒世湛
38,2633,台灣高鐵,市,07/06,    ,25.25,-0.35,-1.37%,8096,10,563,1421,19.2,0.7,航運業,江耀宗,執行長鄭光遠
39,2395,研華,市,07/06,    ,212.5,-1,-0.47%,954,10,63.3,1346,35.8,17.6,電腦及週邊設備業,劉克振,何春盛
40,1402,遠東新,市,07/06,    ,25.05,-0.1,-0.4%,2433,10,535,1341,63.5,50.2,紡織纖維,徐旭東,"吳高山,曾裕賢,胡正隆,鄭澄宇"
41,1101,台泥,市,07/06,    ,35.45,-0.15,-0.42%,3187,10,369,1309,66.5,55.4,水泥工業,張安平,張安平
42,2354,鴻準,市,07/06,    ,91,-1,-1.09%,5978,10,141,1287,27.2,20.7,其他電子業,洪誌謙,李翰明
43,2409,友達,市,07/06,    ,13.15,-0.1,-0.75%,94659,10,962,1266,20.9,16.8,光電業,彭又又浪,蔡國新
44,2883,開發金,市,07/06,    ,8.39,0.01,+0.12%,30712,10,1498,1256,15.5,15.5,金控業,張家祝,許道義代理
45,9904,寶成,市,07/06,    ,41.95,0.55,+1.33%,4202,10,295,1236,47.8,27.5,其他業,詹陸銘,盧金柱
46,2301,光寶科,市,07/06,    ,50,-1.1,-2.15%,6756,10,235,1175,28.3,21.6,電腦及週邊設備業,宋恭源,陳廣中
47,2823,中壽,市,07/06,    ,30.95,0,0%,11690,10,347,1075,54.2,22.4,保險業,王銘陽,郭瑜玲
48,1476,儒鴻,市,07/06,    ,376,-1.5,-0.4%,1117,10,26.9,1011,39.6,16.2,紡織纖維,洪鎮海,蔡俊嶔/陳坤鎕
49,2890,永豐金,市,07/06,    ,9.34,-0.06,-0.64%,11651,10,1069,998,15.2,15.2,金控業,翁文祺,莊銘福 暫代
50,8464,億豐,市,07/06,    ,340,-5,-1.45%,257,10,29.3,996,9.9,1.5,其他業,粘耿豪,粘耿豪
51,5871,中租-KY,市,07/06,    ,85.3,-0.2,-0.23%,3014,10,114,972,7.5,5.6,其他業,陳鳳龍,陳鳳龍
52,6488,環球晶,櫃,07/06,    ,218,7.5,+3.56%,5252,10,43.7,953,5.7,1.8,半導體業,徐秀蘭,Mark England
53,9910,豐泰,市,07/06,    ,137.5,2,+1.48%,2821,10,66.8,918,45.9,25.4,其他業,王秋雄,王建弘
54,5347,世界,櫃,07/06,    ,55.6,-0.3,-0.54%,2150,10,164,911,22.6,19.3,半導體業,方略,方略
55,2324,仁寶,市,07/06,    ,20.45,0,0%,5215,10,442,904,33.1,25.4,電腦及週邊設備業,許勝雄,陳瑞聰
56,2356,英業達,市,07/06,    ,25.2,-0.2,-0.79%,7528,10,359,904,42.1,20.6,電腦及週邊設備業,卓桐華,巫永財
57,1102,亞泥,市,07/06,    ,26.6,-0.05,-0.19%,3207,10,336,894,60.3,55.1,水泥工業,徐旭東,李坤炎
58,2227,裕日車,市,07/06,    ,280.5,-3.5,-1.23%,184,10,30,842,13.7,12.5,汽車工業,嚴凱泰,李振成
59,2888,新光金,市,07/06,    ,8.12,-0.05,-0.61%,11408,10,1023,831,15.4,15.4,金控業,吳東進,李紀珠
60,3231,緯創,市,07/06,    ,30.4,0.05,+0.16%,7024,10,267,813,16.1,13.9,電腦及週邊設備業,林憲銘,黃柏漙
61,6456,GIS-KY,市,07/06,    ,229,7,+3.15%,16093,10,33.9,777,6.5,2.1,光電業,周賢穎,周賢穎
62,3034,聯詠,市,07/06,    ,124.5,0,0%,2638,10,60.9,758,20.1,14.9,半導體業,何泰舜,王守仁
63,6239,力成,市,07/06,    ,94.3,0.9,+0.96%,2142,10,77.9,735,20.1,12.7,半導體業,蔡篤恭,洪嘉(金俞)
64,1227,佳格,市,07/06,    ,82,0,0%,308,10,88,722,31.1,23.2,食品工業,曹德風,YAO STEVEN YIH CHUN
65,8299,群聯,櫃,07/06,    ,362,9,+2.55%,2335,10,19.7,713,16.7,12.6,電腦及週邊設備業,潘健成,歐陽志光
66,3702,大聯大,市,07/06,    ,40.75,-0.1,-0.24%,3761,10,174,709,11.7,11.7,電子通路業,黃偉祥,葉福海
67,3532,台勝科,市,07/06,    ,85.1,2.5,+3.03%,3652,10,77.6,660,21.6,9.6,半導體業,林健男,福島隆
68,9921,巨大,市,07/06,    ,175,-0.5,-0.28%,401,10,37.5,656,44.7,22.5,其他業,杜(糸秀)珍,劉湧昌
69,2344,華邦電,市,07/06,    ,18.15,0.1,+0.55%,45507,10,358,650,29.8,21.7,半導體業,焦佑鈞,詹東義
70,1590,亞德客-KY,市,07/06,    ,362.5,-2,-0.55%,1036,10,17.9,649,7.8,6.6,電機機械,王世忠,王世忠
71,3105,穩懋,櫃,07/06,    ,160,-1,-0.62%,8356,10,40.3,644,17.7,5.6,半導體業,陳進財,王郁琦
72,2618,長榮航,市,07/06,    ,15.3,-0.05,-0.33%,4578,10,405,620,28.2,15.8,航運業,林寶水,陳憲弘
73,2337,旺宏,市,07/06,    ,16.6,0.4,+2.47%,25699,10,367,609,27.6,22.3,半導體業,吳敏求,盧志遠
74,2377,微星,市,07/06,    ,71.8,0.3,+0.42%,6447,10,84.5,607,30.9,18.7,電腦及週邊設備業,徐祥,徐祥
75,2498,宏達電,市,07/06,    ,72,0.4,+0.56%,4292,10,82.2,592,20.1,15.3,通信網路業,王雪紅,王雪紅
76,2542,興富發,市,07/06,    ,50.7,-0.6,-1.17%,3034,10,117,591,37.5,18.2,建材營造業,鄭志隆,范華軍
77,2603,長榮,市,07/06,    ,16.65,-0.05,-0.3%,13347,10,351,585,48.8,29.8,航運業,張正鏞,李孟傑
78,4958,臻鼎-KY,市,07/06,    ,71.6,-0.7,-0.97%,4088,10,80.5,576,11.1,5.5,電子零組件業,沈慶芳,李定轉
79,1504,東元,市,07/06,    ,28.5,0.1,+0.35%,2015,10,200,571,61.1,43.7,電機機械,邱純枝,邱純枝
80,2347,聯強,市,07/06,    ,33.95,-0.2,-0.59%,1714,10,167,566,28.8,21.6,電子通路業,苗豐強,杜書伍
81,2379,瑞昱,市,07/06,    ,111.5,0.5,+0.45%,1017,10,50.5,563,29.7,18.7,半導體業,葉南宏,邱順建
82,2049,上銀,市,07/06,    ,202.5,0.5,+0.25%,909,10,27.5,556,27.7,8,電機機械,卓永財,蔡惠卿
83,2385,群光,市,07/06,    ,75.9,-1.1,-1.43%,676,10,71.7,544,34.4,18.5,電子零組件業,許崑泰,呂進宗
84,1434,福懋,市,07/06,    ,31.2,-0.15,-0.48%,1510,10,168,526,44.2,31.5,紡織纖維,王文淵,謝式銘
85,2327,國巨,市,07/06,    ,101.5,-0.5,-0.49%,1182,10,50.3,511,29.8,23.7,電子零組件業,陳泰銘,張綺雯
86,3044,健鼎,市,07/06,    ,96.9,0,0%,1672,10,52.6,509,25.6,14.9,電子零組件業,王景春,王景春
87,2610,華航,市,07/06,    ,9.26,-0.05,-0.54%,3387,10,547,507,57.8,24.4,航運業,何煖軒,謝世謙
88,2834,臺企銀,市,07/06,    ,8.47,-0.01,-0.12%,5030,10,597,506,66.8,19.5,銀行業,朱潤逢,周燦煌
89,6415,矽力-KY,市,07/06,    ,585,-5,-0.85%,151,10,8.61,504,9.4,3.6,半導體業,陳偉,陳偉
90,9914,美利達,市,07/06,    ,163,0,0%,233,10,29.9,487,44.8,24.8,其他業,曾崧柱,曾崧柱
91,2353,宏碁,市,07/06,    ,15.8,0,0%,4217,10,308,486,40.9,20.8,電腦及週邊設備業,陳俊聖,陳俊聖
92,2723,美食-KY,市,07/06,    ,322,3.5,+1.1%,127,10,14.8,477,8.8,6.6,觀光事業,吳政學,吳政學
93,9945,潤泰新,市,07/06,    ,33.65,-0.35,-1.03%,2697,10,139,469,39.8,25.2,其他業,簡滄圳,李志宏
94,4147,中裕,櫃,07/06,    ,186,-0.5,-0.27%,367,10,25,465,9.8,1.6,生技醫療業,陳志全,張念原
95,2383,台光電,市,07/06,    ,142.5,-0.5,-0.35%,2137,10,31.9,455,25.3,18.6,電子零組件業,董定宇,董定宇
96,5903,全家,櫃,07/06,    ,203.5,0,0%,17,10,22.3,454,28.9,15.4,貿易百貨業,葉榮廷,薛東都
97,3682,亞太電,市,07/06,    ,10.5,-0.15,-1.41%,4330,10,430,452,17.2,3.9,通信網路業,呂芳銘,陳永正
98,1605,華新,市,07/06,    ,13.25,0,0%,2856,10,337,446,50.6,44.7,電器電纜,焦佑倫,鄭慧明
99,2352,佳世達,市,07/06,    ,22.4,-0.15,-0.67%,9736,10,197,441,33.2,21,電腦及週邊設備業,陳其宏,陳其宏
100,1802,台玻,市,07/06,    ,14.75,-0.15,-1.01%,1266,10,291,429,52.9,44,玻璃陶瓷,林伯豐,林伯實
101,9917,中保,市,07/06,    ,95,0.7,+0.74%,325,10,45.1,429,39.7,23.6,其他業,林孝信,小野寺博史
102,2201,裕隆,市,07/06,    ,27.05,0.05,+0.19%,1454,10,157,425,63.8,41,汽車工業,嚴凱泰,姚振祥
103,2106,建大,市,07/06,    ,48.6,0.1,+0.21%,167,10,87.4,425,55.3,26.5,橡膠工業,楊銀明,楊啟仁
104,2915,潤泰全,市,07/06,    ,44.55,-0.35,-0.78%,1804,10,94.1,419,41.5,40,貿易百貨業,王綺帆,徐志漳
105,2345,智邦,市,07/06,    ,76.3,-0.7,-0.91%,3738,10,54.7,417,29.4,21.6,通信網路業,李炎松,李志強
106,2059,川湖,市,07/06,    ,431,0,0%,230,10,9.53,411,30.8,9,電子零組件業,林聰吉,林淑珍
107,1722,台肥,市,07/06,    ,41.6,0.1,+0.24%,3335,10,98,408,71.2,19.3,化學工業,康信鴻,黃耀興
108,6510,精測,櫃,07/06,    ,1310,5,+0.38%,285,10,3.08,403,11.9,1.3,半導體業,李世欽,黃水可
109,2451,創見,市,07/06,    ,93.5,-0.5,-0.53%,423,10,43.1,403,27.9,16.2,半導體業,束崇萬,束崇政
110,4174,浩鼎,櫃,07/06,    ,233,0,0%,1182,10,17.2,401,15.2,2.3,生技醫療業,張念慈,黃秀美
111,9933,中鼎,市,07/06,    ,52.5,0,0%,1230,10,76.3,401,38.3,24.1,其他業,余俊彥,楊宗興
112,2615,萬海,市,07/06,    ,18.05,-0.35,-1.9%,3525,10,222,400,52.4,21.1,航運業,士林紙業股份有限公司,謝福隆
113,2204,中華,市,07/06,    ,28.55,0,0%,866,10,138,395,48.1,26.3,汽車工業,嚴凱泰,陳昭文
114,6409,旭隼,市,07/06,    ,500,4.5,+0.91%,4,10,7.87,394,9.2,3.3,其他電子業,謝卓明,謝卓明
115,2360,致茂,市,07/06,    ,93.8,-0.2,-0.21%,981,10,40.5,380,32.7,20.5,其他電子業,黃欽明,黃欽明
116,1909,榮成,市,07/06,    ,34.3,-0.4,-1.15%,5450,10,111,379,39.3,31.6,造紙工業,鄭瑛彬,鄭瑛彬
117,1717,長興,市,07/06,    ,34.05,-0.25,-0.73%,550,10,110,376,52.6,23.3,化學工業,高國倫,謝錦坤
118,5904,寶雅,櫃,07/06,    ,386,-0.5,-0.13%,23,10,9.65,372,20.3,14.8,貿易百貨業,陳建造,陳宗成
119,2809,京城銀,市,07/06,    ,32.25,-0.2,-0.62%,1288,10,115,371,66,34,銀行業,戴誠志,簡世鉅
120,1704,榮化,市,07/06,    ,42.7,0.1,+0.23%,649,10,85.6,366,51.7,39.6,化學工業,李謀偉,經營委員會
121,3189,景碩,市,07/06,    ,81.9,1.4,+1.74%,4699,10,44.6,365,16.8,12.7,半導體業,郭明棟,陳河旭
122,2439,美律,市,07/06,    ,187.5,-2,-1.06%,1871,10,19.4,365,41.5,16.8,通信網路業,廖祿立,廖祿立
123,5264,鎧勝-KY,市,07/06,    ,106,-0.5,-0.47%,1835,10,34,360,6.9,4.4,電腦及週邊設備業,程建中,莊育志
124,1536,和大,市,07/06,    ,140.5,-2.5,-1.75%,2985,10,25.5,358,44.5,15.8,電機機械,沈國榮,陳俊智
125,9938,百和,市,07/06,    ,120,5,+4.35%,3033,10,29.8,358,32.5,16.5,其他業,鄭森煤,鄭森煤
126,2231,為升,市,07/06,    ,386,-0.5,-0.13%,172,10,9.2,355,28.5,6.6,電機機械,尤山泉,尤山泉
127,2923,鼎固-KY,市,07/06,    ,20.2,-0.2,-0.98%,6,10,174,352,9.6,4.6,建材營造業,張洪本,張能耀
128,1319,東陽,市,07/06,    ,59.2,0.1,+0.17%,2625,10,59.1,350,49.7,22.6,塑膠工業,吳永豐,吳永祥
129,3406,玉晶光,市,07/06,    ,342.5,31,+9.95%,20100,10,9.98,342,27.4,11.5,光電業,陳天慶,陳天慶
130,3673,TPK-KY,市,07/06,    ,98.4,6.6,+7.19%,36449,10,34.7,341,11.6,6.7,光電業,江朝瑞,鍾依華
131,2449,京元電子,市,07/06,    ,29.05,0.45,+1.57%,8097,10,117,340,30.1,16.2,半導體業,李金恭,劉安炫
132,6269,台郡,市,07/06,    ,113,1,+0.89%,2275,10,30,339,19.5,13.8,電子零組件業,鄭明智,鄭明智
133,2812,台中銀,市,07/06,    ,10.25,-0.05,-0.49%,6131,10,324,332,63.9,33.1,銀行業,賴進淵,賈德威
134,5522,遠雄,市,07/06,    ,39,-0.45,-1.14%,1237,10,83.5,326,38.9,9.9,建材營造業,趙文嘉,湯佳峰
135,2634,漢翔,市,07/06,    ,35.75,-0.15,-0.42%,290,10,90.8,325,21,2.9,航運業,廖榮鑫,林南助
136,8069,元太,櫃,07/06,    ,28.4,-0.1,-0.35%,4523,10,114,324,25.1,13.3,光電業,柯富仁,李政昊
137,6285,啟碁,市,07/06,    ,91.3,0.7,+0.77%,1352,10,35.3,322,20.6,13.8,通信網路業,謝宏波,高健榮
138,6446,藥華藥,櫃,07/06,    ,147,-1.5,-1.01%,119,10,21.9,322,17.2,1,生技醫療業,詹青柳,黃正谷
139,6121,新普,櫃,07/06,    ,104,0.5,+0.48%,987,10,30.8,321,25.2,15.6,電腦及週邊設備業,宋福祥,宋福祥
140,1565,精華,櫃,07/06,    ,634,0,0%,76,10,5.04,320,30.8,13.3,生技醫療業,陳明賢,周育然
141,3081,聯亞,櫃,07/06,    ,352,13,+3.83%,2264,10,9.06,319,20.1,2,通信網路業,陳建任,羅淇生
142,2448,晶電,市,07/06,    ,28.8,0.35,+1.23%,7704,10,109,314,20.8,16.1,光電業,李秉傑,周銘俊
143,3706,神達,市,07/06,    ,38.4,0,0%,7826,10,81.8,314,3.8,3.8,電腦及週邊設備業,苗豐強,何繼武
144,6176,瑞儀,市,07/06,    ,67.5,0.1,+0.15%,1776,10,46.5,314,22,10.1,光電業,王本然,王本然(總執行長)
145,1789,神隆,市,07/06,    ,40.8,-0.3,-0.73%,491,10,76,310,19.7,5.8,生技醫療業,鄭高輝,陳勇發
146,2845,遠東銀,市,07/06,    ,9.88,0.03,+0.3%,1751,10,311,307,25.5,18.6,銀行業,侯金英,周添財
147,9941,裕融,市,07/06,    ,111.5,-4,-3.46%,1439,10,27.5,306,27.2,15.8,其他業,陳國榮,許國興
148,6147,頎邦,櫃,07/06,    ,47.05,0.5,+1.07%,2802,10,64.9,305,20,15.4,半導體業,吳非艱,高火文
149,2371,大同,市,07/06,    ,13,0,0%,4801,10,234,304,67.2,55.4,電機機械,林蔚山,林郭文艷
150,1477,聚陽,市,07/06,    ,145.5,-1.5,-1.02%,1926,10,20.7,301,27.5,14.5,紡織纖維,周理平,周理平
151,6414,樺漢,市,07/06,    ,394,6.5,+1.68%,921,10,7.64,301,18,3.3,電腦及週邊設備業,吳惠鋒,朱復銓
152,8454,富邦媒,市,07/06,    ,210.5,-1.5,-0.71%,24,10,14.2,299,12.8,2.5,貿易百貨業,林福星,林啟峰
153,3529,力旺,櫃,07/06,    ,392.5,3.5,+0.9%,107,10,7.58,297,16.8,6.5,半導體業,徐清祥,沈士傑
154,2015,豐興,市,07/06,    ,51,-0.2,-0.39%,140,10,58.2,297,48.5,25.1,鋼鐵工業,林明儒,陳木澤
155,2103,台橡,市,07/06,    ,35.9,-0.1,-0.28%,995,10,82.6,296,43.6,34.8,橡膠工業,王紹堉,蔡偉強
156,6452,康友-KY,市,07/06,    ,454,-3,-0.66%,171,10,6.5,295,3.7,2.3,生技醫療業,黃文烈,黃文烈
157,6116,彩晶,市,07/06,    ,9.12,0.06,+0.66%,38759,10,323,295,19.1,12.8,光電業,焦佑麒,焦佑麒
158,4966,譜瑞-KY,櫃,07/06,    ,381,3.5,+0.93%,368,10,7.73,295,11.6,5.8,半導體業,趙捷,曲明
159,2313,華通,市,07/06,    ,24.5,-0.1,-0.41%,8853,10,119,292,43.9,27,電子零組件業,吳  健,江培琨
160,2441,超豐,市,07/06,    ,49.5,0,0%,521,10,56.9,282,34.3,16.7,半導體業,蔡篤恭,甯鑑超
161,2492,華新科,市,07/06,    ,53.8,0.9,+1.7%,1082,10,51.8,279,46.9,15.8,電子零組件業,焦佑衡,顧立荊
162,1314,中石化,市,07/06,    ,11.7,0.05,+0.43%,6954,10,236,276,48,26,塑膠工業,林克銘,余建松(暫代）
163,1723,中碳,市,07/06,    ,116,0,0%,211,10,23.7,275,28.4,18.6,化學工業,林弘男,李建明
164,8150,南茂,市,07/06,    ,30.8,0.2,+0.65%,2371,10,88.7,273,19.9,3.2,半導體業,鄭世杰,鄭世杰
165,5530,龍巖,櫃,07/06,    ,65,0.8,+1.25%,401,10,42,273,30.3,16.8,其他業,劉偉龍,郭學君
166,1707,葡萄王,市,07/06,    ,198.5,-4,-1.98%,515,10,13.5,268,46.3,34.5,生技醫療業,曾盛麟,曾盛麟
167,5483,中美晶,櫃,07/06,    ,46.25,0.6,+1.31%,3848,10,58,268,36.5,16.3,半導體業,盧明光,徐秀蘭
168,4915,致伸,市,07/06,    ,60.2,-1.7,-2.75%,3856,10,44.5,268,11.3,4.8,電子零組件業,梁立省,楊海宏
169,3037,欣興,市,07/06,    ,17.5,-0.15,-0.85%,4140,10,152,266,27.4,14.9,電子零組件業,曾子章,曾子章
170,2867,三商壽,市,07/06,    ,15.8,-0.1,-0.63%,1380,10,167,263,24.1,4.6,保險業,陳翔玠,楊棋材
171,2606,裕民,市,07/06,    ,30.95,-0.2,-0.64%,1104,10,84.5,262,48.9,26.6,航運業,徐旭東,王書吉
172,2889,國票金,市,07/06,    ,9.5,0.01,+0.11%,1478,10,275,261,15.3,15.3,金控業,魏啟林,丁予嘉
173,1210,大成,市,07/06,    ,35.35,0.4,+1.14%,13702,10,73.6,260,56.5,39.1,食品工業,韓家宇,莊坤炎
174,1229,聯華,市,07/06,    ,28.5,0,0%,1477,10,91.1,260,62,41,食品工業,苗豐強,景虎士
175,2849,安泰銀,市,07/06,    ,13.25,-0.05,-0.38%,58,10,196,259,24.5,17.8,銀行業,丁予康,俞宇琦
176,8044,網家,櫃,07/06,    ,232,-2.5,-1.07%,800,10,11,256,19,12.4,資訊服務業,詹宏志,李宏麟
177,4105,東洋,櫃,07/06,    ,100.5,-0.5,-0.5%,709,10,24.9,250,57,15.8,生技醫療業,蕭英鈞,蕭英鈞暫代
178,2006,東和鋼鐵,市,07/06,    ,24.8,0.1,+0.4%,862,10,99.8,248,55.1,29,鋼鐵工業,侯傑騰,侯傑騰
179,3152,璟德,櫃,07/06,    ,358.5,0,0%,165,10,6.9,247,19.2,9.3,通信網路業,雙德投資股份有限公司-代表人郭建文,郭建文
180,6412,群電,市,07/06,    ,65,1.8,+2.85%,1292,10,38,247,8.5,3.7,電子零組件業,林茂桂,曾國華
181,4162,智擎,櫃,07/06,    ,198.5,0.5,+0.25%,217,10,12.3,243,14.9,4.8,生技醫療業,孫致中,葉常菁
182,5820,日盛金,櫃,07/06,    ,6.86,-0.04,-0.58%,586,10,354,243,15.4,15.4,金控業,黃錦瑭,王芝芳
183,2838,聯邦銀,市,07/06,    ,9.28,0.01,+0.11%,838,10,261,242,25.5,19,銀行業,李憲章,林鴻聯
184,2355,敬鵬,市,07/06,    ,60.8,-0.3,-0.49%,782,10,39.7,242,37.8,20.7,電子零組件業,黃維金,黃維金
185,2376,技嘉,市,07/06,    ,38.3,-0.1,-0.26%,2608,10,62.9,241,31.2,18.8,電腦及週邊設備業,葉培城,劉明雄
186,2101,南港,市,07/06,    ,28.5,-0.05,-0.18%,227,10,83.4,238,58.4,53.7,橡膠工業,江慶興,詹彩雲
187,3665,貿聯-KY,市,07/06,    ,208,2,+0.97%,3028,10,11.4,237,17.1,6.2,其他電子業,梁華哲,鄧劍華
188,3005,神基,市,07/06,    ,40.7,0,0%,3145,10,57,232,27.8,15.4,電腦及週邊設備業,黃明漢,黃明漢
189,2023,燁輝,市,07/06,    ,13.45,-0.2,-1.47%,4779,10,172,231,39.2,21.9,鋼鐵工業,林義守,吳林茂
190,2501,國建,市,07/06,    ,19.9,-0.05,-0.25%,1128,10,116,231,52.6,49.7,建材營造業,張清櫆,李虹明
191,9907,統一實,市,07/06,    ,14.6,-0.1,-0.68%,680,10,158,231,48.2,26.4,其他業,羅智先,陳豐富
192,5274,信驊,櫃,07/06,    ,667,-3,-0.45%,202,10,3.39,226,12.6,4.2,半導體業,林鴻明,林鴻明
193,2903,遠百,市,07/06,    ,15.8,-0.1,-0.63%,1192,10,142,224,49.9,38.7,貿易百貨業,徐旭東,徐雪芳
194,2897,王道銀行,市,07/06,    ,9.26,0,0%,1869,10,241,223,17.9,0.2,銀行業,駱錦明,楊錦裕
195,1440,南紡,市,07/06,    ,13.25,0,0%,963,10,166,220,62.3,27.8,紡織纖維,侯博明,陳鴻模
196,1710,東聯,市,07/06,    ,24.5,-0.15,-0.61%,4598,10,88.6,217,41.5,29.7,化學工業,徐旭東,蔡錫津
197,6005,群益證,市,07/06,    ,9.99,-0.01,-0.1%,197,10,217,217,29,11.6,證券業,王濬智,趙永飛
198,1503,士電,市,07/06,    ,41.45,-0.15,-0.36%,38,10,52.1,216,61.7,47.6,電機機械,許育瑞,許育瑞
199,2393,億光,市,07/06,    ,48.95,-0.15,-0.31%,1223,10,44.1,216,34.1,17.7,光電業,葉寅夫,葉寅夫
200,8406,金可-KY,櫃,07/06,    ,231,-0.5,-0.22%,114,10,9.27,214,10.1,5.2,生技醫療業,蔡國洲,蔡國源
201,3036,文曄,市,07/06,    ,44.95,0,0%,707,10,47.6,214,23.5,14.9,電子通路業,鄭文宗,鄭文宗
202,2392,正崴,市,07/06,    ,41.15,0.35,+0.86%,375,10,51.2,211,31,17.8,電子零組件業,郭台強,郭台強
203,2609,陽明,市,07/06,    ,13.4,0.05,+0.37%,5294,10,157,210,44.5,25.2,航運業,謝志堅,林文博
204,2707,晶華,市,07/06,    ,165,0.5,+0.3%,194,10,12.7,209,41,19.3,觀光事業,潘思亮,薛雅萍
