"3529","力旺","61.99","6.00","1.65","16.33"
"3531","先益","N/A","0.25","1.78","0.49"
"3537","堡達","11.86","1.20","5.71","1.23"
"3540","曜越","N/A","1.00","6.60","0.78"
"3541","西柏","18.57","4.00","4.46","5.01"
"3546","宇峻","N/A","0.50","1.48","1.40"
"3548","兆利","14.33","1.30","2.84","0.89"
"3551","世禾","9.70","2.00","5.56","0.77"
"3552","同致","65.77","3.40","0.67","12.13"
"3553","力積","8.25","0.20","1.61","0.90"
"3555","擎泰","N/A","0.00","0.00","6.51"
"3556","禾瑞亞","13.81","3.70","6.63","2.81"
"3558","神準","12.86","9.49","4.50","4.33"
"3562","頂晶科","25.87","0.00","0.00","2.50"
"3563","牧德","11.95","3.60","7.63","2.01"
"3564","其陽","7.48","1.80","3.16","2.22"
"3567","逸昌","15.71","1.10","7.14","1.16"
"3570","大塚","12.29","4.00","6.47","2.01"
"3577","泓格","19.29","1.30","4.01","1.73"
"3580","友威科","N/A","0.00","0.00","1.63"
"3581","博磊","16.55","1.00","5.87","1.19"
"3587","閎康","19.97","3.00","3.93","2.93"
"3594","磐儀","34.62","1.09","3.47","1.57"
"3609","東林","N/A","0.00","0.00","0.55"
"3611","鼎翰","18.20","10.00","3.54","6.47"
"3615","安可","79.58","0.30","1.57","0.52"
"3623","富晶通","21.19","5.50","7.91","4.81"
"3624","光頡","14.73","1.00","4.02","1.17"
"3625","西勝","N/A","0.00","0.00","0.96"
"3628","盈正","11.46","4.00","8.17","1.30"
"3629","卓韋","N/A","0.00","0.00","5.67"
"3630","新鉅科","N/A","0.00","0.00","0.65"
"3631","晟楠","N/A","0.00","0.00","1.05"
"3632","研勤","19.78","0.00","0.00","1.86"
"3642","駿熠電","N/A","0.75","2.69","1.21"
"3646","艾恩特","N/A","1.00","8.00","0.96"
"3652","精聯","45.79","0.80","4.60","0.73"
"3658","漢微科","21.20","16.00","1.76","5.44"
"3662","樂陞","24.52","4.26","3.69","2.84"
"3663","鑫科","N/A","0.50","3.21","0.99"
"3664","F-安瑞","11.27","0.00","0.00","0.80"
"3666","光耀","68.91","3.00","9.46","1.72"
"3672","康聯訊","10.65","2.40","7.02","2.06"
"3675","德微","11.90","0.63","2.65","1.13"
"3680","家登","N/A","0.50","1.49","1.93"
"3684","榮昌","12.76","4.00","6.87","3.18"
"3685","政翔","N/A","0.00","0.00","4.15"
"3687","歐買尬","N/A","0.00","0.00","1.75"
"3689","湧德","8.74","1.50","4.59","0.86"
"3691","碩禾","15.34","20.00","3.60","5.90"
"3693","營邦","8.93","5.30","5.88","1.91"
"3707","漢磊","N/A","0.00","0.00","0.74"
"4102","永日","N/A","0.00","0.00","1.85"
"4103","百略","14.31","4.00","4.53","2.96"
"4105","東洋","22.26","2.50","2.46","5.92"
"4107","邦特","28.63","2.60","1.88","5.23"
"4109","穆拉德","59.87","0.50","2.14","1.85"
"4111","濟生","34.15","0.60","2.47","1.37"
"4113","聯上","7.37","4.24","37.85","0.64"
"4114","健喬","76.14","0.20","0.60","1.86"
"4116","明基醫","15.74","1.50","2.44","3.34"
"4120","友華","20.44","1.60","3.14","1.54"
"4121","優盛","N/A","0.00","0.00","0.97"
"4123","晟德","118.28","1.00","1.46","3.07"
"4126","太醫","15.55","2.50","3.10","2.78"
"4127","天良","15.14","0.70","3.17","1.21"
"4128","中天","N/A","0.00","0.00","1.47"
"4129","聯合","28.19","1.60","2.38","3.47"
"4130","健亞","123.86","0.50","0.92","4.10"
"4131","晶宇","N/A","0.00","0.00","2.05"
"4138","曜亞","15.04","3.63","5.73","1.54"
"4139","F-馬光","N/A","1.00","1.67","3.97"
"4147","中裕","N/A","0.00","0.00","28.77"
"4152","台微體","N/A","0.00","0.00","2.99"
"4153","鈺緯","17.18","4.56","6.23","2.80"
"4154","F-康樂","35.17","0.00","0.00","1.70"
"4157","F*太景","N/A","0.00","0.00","33.50"
"4160","創源","N/A","0.00","0.00","2.10"
"4161","聿新科","114.11","1.03","1.62","3.10"
"4162","智擎","63.47","4.00","1.63","7.80"
"4163","鐿鈦","24.31","4.50","2.69","5.18"
"4167","展旺","N/A","0.00","0.00","2.72"
"4168","醣聯","N/A","0.00","0.00","1.48"
"4171","瑞基","N/A","0.00","0.00","3.40"
"4173","久裕","42.96","0.30","1.27","0.97"
"4174","浩鼎","N/A","0.00","0.00","9.16"
