"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"39","2024","志聯","9.05","-0.03","-0.33%","15M04","2.45","0","24%","0","0%","0","0","0%","0","0%","2.45","0","24%","0","0%"
"40","1715","萬洲","18","+0.2","+1.12%","15M04","18.17","0","45.3%","0.2","1.09%","0","0","0%","0","0%","18.17","0","45.3%","0.2","1.09%"
"41","2890","永豐金","14.1","0","0%","15M04","46.25","0","4.88%","0","0%","0","0","0%","0","0%","46.25","0","4.88%","0","0%"
"42","2546","根基","17.2","+0.1","+0.58%","15M04","3.76","0","35.4%","0","0%","0","0","0%","0","0%","3.76","0","35.4%","0","0%"
"43","2377","微星","34.55","0","0%","15M04","13.84","-500","16.4%","0","0%","0","0","0%","0","0%","13.84","-500","16.4%","0","0%"
"44","6136","富爾特","26.7","0","0%","15M04","1.59","0","13.8%","0.12","5.88%","0","0","0%","0","0%","1.59","0","13.8%","0.12","5.88%"
"45","3028","增你強","19.65","+0.1","+0.51%","15M04","2.66","-200","12.4%","0","0%","0","0","0%","0","0%","2.66","-200","12.4%","0","0%"
"46","3209","全科","32.4","+0.05","+0.15%","15M04","1.88","-48","18.1%","0","0%","0","0","0%","0","0%","1.88","-48","18.1%","0","0%"
"47","6203","海韻電","40.7","+0.8","+2.01%","15M04","2.74","0","34.2%","0","0%","0","0","0.01%","0","0%","2.74","0","34.2%","0","0%"
"48","3036","文曄","46.6","-0.15","-0.32%","15M04","3.67","0","9.02%","0","0%","0","0","0%","0","0%","3.67","0","9.02%","0","0%"
"49","2402","毅嘉","23.4","-0.3","-1.27%","15M04","3.4","0","9.93%","0","0%","0","0","0%","0","0%","3.4","0","9.93%","0","0%"
"50","6189","豐藝","37.6","-0.05","-0.13%","15M04","2.07","0","11.6%","0.08","3.61%","0","0","0%","0","0%","2.07","0","11.6%","0.08","3.61%"
"51","6143","振曜","59","-0.3","-0.51%","15M04","1.84","+120","22.1%","0","0%","0","0","0%","0","0%","1.84","+120","22.1%","0","0%"
"52","6241","易通展","21.3","-0.2","-0.93%","15M04","1.19","0","50.3%","0","0%","0","0","0%","0","0%","1.19","0","50.3%","0","0%"
"53","2845","遠東銀","11.1","0","0%","15M04","23.11","0","8.08%","0","0%","0","0","0%","0","0%","23.11","0","8.08%","0","0%"
"54","5276","F-達輝","23.75","-0.55","-2.26%","15M04","0","0","0%","0","0%","0","0","0%","0","0%","0","0","0%","0","0%"
"55","2064","晉椿","23.9","+0.15","+0.63%","15M04","1.1","0","15.7%","0","0%","0","0","0%","0","0%","1.1","0","15.7%","0","0%"
"56","9912","偉聯","11.95","+0.15","+1.27%","15M04","0.45","0","8.43%","0","0%","0","0","0%","0","0%","0.45","0","8.43%","0","0%"
"57","3033","威健","23.3","0","0%","15M04","3.85","0","14.2%","0","0%","0","0","0%","0","0%","3.85","0","14.2%","0","0%"
"58","3315","宣昶","21.55","-0.15","-0.69%","15M04","1.86","0","26.5%","0","0%","0","0","0%","0","0%","1.86","0","26.5%","0","0%"
"59","2596","綠意","18","+0.3","+1.69%","15M04","3.72","0","44.9%","0","0%","0","0","0%","0","0%","3.72","0","44.9%","0","0%"
"60","5487","通泰","24.05","+0.15","+0.63%","15M04","0.4","0","17.9%","0","0%","0","0","0.01%","0","0%","0.4","0","17.9%","0","0%"
"61","1229","聯華","21.65","0","0%","15M04","21.86","0","25.6%","1.59","7.28%","0","0","0%","0","0%","21.86","0","25.6%","1.59","7.28%"
"62","5410","國眾","13","+0.05","+0.39%","15M04","1.03","0","11.4%","0","0%","0","0","0%","0","0%","1.03","0","11.4%","0","0%"
"63","6115","鎰勝","42.2","+0.2","+0.48%","15M04","2.2","0","12.3%","0","0%","0","0","0%","0","0%","2.2","0","12.3%","0","0%"
"64","2302","麗正","7.87","+0.08","+1.03%","15M04","4.88","0","30.2%","0","0%","0","0","0%","0","0%","4.88","0","30.2%","0","0%"
"65","8271","宇瞻","26.6","+0.3","+1.14%","15M04","1.4","-110","9.23%","0","0%","0.01","0","0.07%","0","0%","1.41","-110","9.3%","0","0%"
"66","6185","幃翔","30.25","+0.3","+1%","15M04","2.36","-154","21.7%","0","0%","0","0","0.03%","0","0%","2.37","-154","21.7%","0","0%"
"67","2812","台中銀","10.8","0","0%","15M04","20.81","0","7.3%","1.25","6%","0","0","0%","0","0%","20.81","0","7.3%","1.25","6%"
"68","2034","允強","24.3","-0.15","-0.61%","15M04","6.07","0","16.4%","0","0%","0","0","0%","0","0%","6.07","0","16.4%","0","0%"
"69","2437","旺詮","60.9","+0.1","+0.16%","15M04","1.77","-110","26.6%","0.9","50.9%","0","0","0%","0","0%","1.77","-110","26.6%","0.9","50.9%"
"70","2915","潤泰全","73.1","+0.6","+0.83%","15M04","12.94","0","13.7%","3.36","26%","0","0","0%","0","0%","12.94","0","13.7%","3.36","26%"
"71","2547","日勝生","14.65","+0.1","+0.69%","15M04","16.67","0","19%","7.28","43.6%","0","0","0%","0","0%","16.67","0","19%","7.28","43.6%"
"72","3587","閎康","49.05","+0.8","+1.66%","15M04","1.32","+22","28.6%","0","0%","0","0","0%","0","0%","1.32","+22","28.6%","0","0%"
"73","3217","優群","15.95","-0.15","-0.93%","15M04","1.3","0","15.5%","0","0%","0","0","0.01%","0","0%","1.3","0","15.5%","0","0%"
"74","2520","冠德","24.65","+0.1","+0.41%","15M04","9.91","0","19.7%","0","0%","0","0","0%","0","0%","9.91","0","19.7%","0","0%"
"75","1442","名軒","24.75","-0.25","-1%","15M04","1.68","0","7.54%","0","0%","0","0","0%","0","0%","1.68","0","7.54%","0","0%"
"76","5203","訊連","86.7","-0.1","-0.12%","15M04","1.06","0","10.5%","0","0%","0.01","0","0.09%","0","0%","1.06","0","10.6%","0","0%"
"77","6261","久元","63.3","-0.2","-0.31%","15M04","1.56","-9","12.3%","0","0%","0","0","0%","0","0%","1.56","-9","12.3%","0","0%"
"78","8088","品安","19.9","0","0%","15M04","2.21","0","38.2%","0","0%","0","0","0%","0","0%","2.21","0","38.2%","0","0%"
"79","2539","櫻花建","37.35","-0.15","-0.4%","15M04","5.39","0","22.6%","0","0%","0","0","0%","0","0%","5.39","0","22.6%","0","0%"
"80","5525","順天","18.7","+0.1","+0.54%","15M04","5.61","0","22.8%","0","0%","0","0","0%","0","0%","5.61","0","22.8%","0","0%"
"81","2838","聯邦銀","10.75","+0.05","+0.47%","15M04","54.45","0","22.2%","0","0%","0","0","0%","0","0%","54.45","0","22.2%","0","0%"
"82","3291","遠翔科","25","-0.25","-0.99%","15M04","0.57","0","16%","0","0%","0","0","0%","0","0%","0.57","0","16%","0","0%"
"83","9945","潤泰新","50.1","+0.55","+1.11%","15M04","31.04","0","26%","11.9","38.3%","0","0","0%","0","0%","31.04","0","26%","11.9","38.3%"
"84","3299","帛漢","56.4","-0.7","-1.23%","15M04","0.96","0","19.1%","0","0%","0","0","0%","0","0%","0.96","0","19.1%","0","0%"
"85","3048","益登","27.6","+0.05","+0.18%","15M04","3.71","+20","20.6%","0","0%","0","0","0%","0","0%","3.71","+20","20.6%","0","0%"
"86","8401","白紗科","15","+0.05","+0.33%","15M04","1.32","0","22.4%","0","0%","0","0","0%","0","0%","1.32","0","22.4%","0","0%"
"87","3531","先益","18.85","+0.15","+0.8%","15M04","1.67","0","27.3%","0","0%","0","0","0%","0","0%","1.67","0","27.3%","0","0%"
"88","2356","英業達","22.05","+0.2","+0.92%","15M04","56.84","0","15.8%","0","0%","0","0","0%","0","0%","56.84","0","15.8%","0","0%"
"89","1541","錩泰","21.65","-0.4","-1.81%","15M04","3.04","0","38.6%","0","0%","0","0","0.02%","0","0%","3.05","0","38.7%","0","0%"
"90","2030","彰源","12.65","+0.1","+0.8%","15M04","6.15","0","22.5%","1.88","30.5%","0","0","0%","0","0%","6.15","0","22.5%","1.88","30.5%"
"91","3623","富晶通","38","+0.45","+1.2%","15M04","2.61","0","44.4%","0","0%","0","0","0%","0","0%","2.61","0","44.4%","0","0%"
"92","5820","日盛金","8.95","0","0%","15M04","191.4","0","59.5%","0","0%","0","0","0%","0","0%","191.4","0","59.5%","0","0%"
"93","2458","義隆","45.85","+0.3","+0.66%","15M04","2.85","0","6.47%","0.39","13.7%","0","0","0%","0","0%","2.85","0","6.47%","0.39","13.7%"
"94","5251","天鉞電","44.7","-0.05","-0.11%","15M04","0.74","0","23.9%","0","0%","0","0","0%","0","0%","0.74","0","23.9%","0","0%"
"95","6128","上福","35.9","+0.05","+0.14%","15M04","2.74","0","30.1%","0.08","2.73%","0.01","0","0.14%","0","0%","2.75","0","30.2%","0.08","2.72%"
"96","3057","喬鼎","25.75","-0.1","-0.39%","15M04","1","0","6.23%","0","0%","0","0","0.02%","0","0%","1.01","0","6.25%","0","0%"
"97","8099","大世科","21.9","+0.25","+1.15%","15M04","3.6","0","53.6%","0","0%","0","0","0%","0","0%","3.6","0","53.6%","0","0%"
"98","2376","技嘉","35","+0.1","+0.29%","15M04","7.51","0","11.9%","3.38","45%","0","0","0%","0","0%","7.51","0","11.9%","3.38","45%"
"99","8213","志超","45.4","0","0%","15M04","1.8","-20","6.63%","0.06","3.33%","0.01","0","0.04%","0","0%","1.81","-20","6.67%","0.06","3.31%"
"100","5438","東友","13","-0.05","-0.38%","15M04","2.55","0","22.7%","0.46","17.9%","0","0","0%","0","0%","2.55","0","22.7%","0.46","17.9%"
"101","6196","帆宣","26","-0.15","-0.57%","15M04","3.33","0","20.2%","0","0%","0.04","0","0.22%","0","0%","3.37","0","20.4%","0","0%"
"102","3679","新至陞","45.75","-0.1","-0.22%","15M04","1.14","0","14.2%","0","0%","0","0","0%","0","0%","1.14","0","14.2%","0","0%"
"103","2477","美隆電","13.1","+0.05","+0.38%","15M04","6.58","0","27.5%","0.3","4.56%","0","0","0%","0","0%","6.58","0","27.5%","0.3","4.56%"
"104","2535","達欣工","19.7","-0.1","-0.51%","15M04","2.7","+76","12.3%","0.54","19.8%","0","0","0%","0","0%","2.7","+76","12.3%","0.54","19.8%"
"105","6214","精誠","65.8","+3","+4.78%","15M04","2.66","+100","9.95%","0.01","0.5%","0","0","0%","0","0%","2.66","+100","9.95%","0.01","0.5%"
"106","2471","資通","15.85","-0.2","-1.25%","15M04","0.7","0","14.8%","0","0%","0","0","0%","0","0%","0.7","0","14.8%","0","0%"
"107","3078","僑威","21.15","+0.05","+0.24%","15M04","4.59","0","20.2%","0","0%","0.04","0","0.18%","0","0%","4.63","0","20.4%","0","0%"
"108","8916","光隆","39.7","-0.3","-0.75%","15M04","2.28","0","21.8%","0.35","14.8%","0","0","0%","0","0%","2.28","0","21.8%","0.35","14.8%"
"109","3598","奕力","59.6","+0.1","+0.17%","15M04","0.54","0","7.47%","0.03","5.58%","0","0","0%","0","0%","0.54","0","7.47%","0.03","5.58%"
"110","6257","矽格","27.85","+0.05","+0.18%","15M04","2.4","+5","6.61%","0.2","8.33%","0","0","0%","0","0%","2.4","+5","6.61%","0.2","8.33%"
"111","2347","聯強","43.8","+0.2","+0.46%","15M04","30.67","0","19.3%","3.44","11.2%","0","0","0%","0","0%","30.67","0","19.3%","3.44","11.2%"
"112","3026","禾伸堂","43.8","0","0%","15M04","2.45","0","10.9%","0","0%","0","0","0%","0","0%","2.45","0","10.9%","0","0%"
"113","8249","菱光","25.25","-0.1","-0.39%","15M04","3.29","0","25.9%","0.62","18.7%","0","0","0%","0","0%","3.29","0","25.9%","0.62","18.7%"
"114","2536","宏普","26.6","+0.1","+0.38%","15M04","10.53","0","31.6%","0","0%","0","0","0%","0","0%","10.53","0","31.6%","0","0%"
"115","6216","居易","28.8","-0.3","-1.03%","15M04","1.65","0","21.4%","0","0%","0","0","0.01%","0","0%","1.65","0","21.4%","0","0%"
"116","2439","美律","64.3","-0.4","-0.62%","15M04","1.92","-116","10.4%","0","0%","0","0","0%","0","0%","1.92","-116","10.4%","0","0%"
"117","2834","臺企銀","9.81","-0.04","-0.41%","15M04","116.1","0","21.9%","0","0%","0","0","0%","0","0%","116.1","0","21.9%","0","0%"
"118","5489","彩富","53.8","+0.1","+0.19%","15M04","3.6","0","34.5%","0","0%","0","0","0%","0","0%","3.6","0","34.5%","0","0%"
"119","8081","致新","81.1","-0.3","-0.37%","15M04","0.79","0","9.18%","0.13","16.4%","0","0","0.01%","0","0%","0.79","0","9.19%","0.13","16.4%"
"120","5243","F-乙盛","33.85","-0.2","-0.59%","15M03","6.8","0","37.6%","0.5","7.35%","0","0","0%","0","0%","6.8","0","37.6%","0.5","7.35%"
"121","4960","奇美材","34.05","-0.2","-0.58%","15M04","15.65","0","30.3%","0","0%","0","0","0%","0","0%","15.65","0","30.3%","0","0%"
"122","2488","漢平","21.8","0","0%","15M04","1.01","0","12.7%","0.15","9.72%","0","0","0%","0","0%","1.01","0","12.7%","0.15","9.72%"
"123","3090","日電貿","27.25","-0.1","-0.37%","15M04","1.19","0","7.49%","0","0%","0","0","0%","0","0%","1.19","0","7.49%","0","0%"
"124","5201","凱衛","15","-0.05","-0.33%","15M04","0.68","0","22.2%","0.15","22%","0","0","0%","0","0%","0.68","0","22.2%","0.15","22%"
"125","5225","F-東科","68.2","-0.1","-0.15%","15M04","0.28","-45","4.57%","0.05","16.3%","0","0","0%","0","0%","0.28","-45","4.57%","0.05","16.3%"
"126","1604","聲寶","13.65","0","0%","15M04","3.98","0","7.59%","0","0%","0.01","0","0.02%","0","0%","3.99","0","7.61%","0","0%"
"127","2637","F-慧洋","41","-0.1","-0.24%","15M04","18.13","0","37.3%","3","16.5%","0","0","0%","0","0%","18.13","0","37.3%","3","16.5%"
"128","1582","信錦","61.6","+0.2","+0.33%","15M04","1.98","-268","13.2%","0","0%","0","0","0%","0","0%","1.98","-268","13.2%","0","0%"
"129","2365","昆盈","10.55","+0.05","+0.48%","15M04","3.17","0","10.5%","0.88","27.8%","0","0","0%","0","0%","3.17","0","10.5%","0.88","27.8%"
"130","2420","新巨","48","+0.6","+1.27%","15M04","4.21","0","27.6%","0.99","23.4%","0","0","0%","0","0%","4.21","0","27.6%","0.99","23.4%"
"131","3297","杭特","24.7","0","0%","15M04","0.72","0","19.7%","0","0%","0","0","0%","0","0%","0.72","0","19.7%","0","0%"
"132","2847","大眾銀","11","+0.15","+1.38%","15M04","42.87","0","16.6%","2.68","6.24%","0","0","0%","0","0%","42.87","0","16.6%","2.68","6.24%"
"133","6205","詮欣","30.25","-0.1","-0.33%","15M04","1.18","0","16.4%","0","0%","0","0","0%","0","0%","1.18","0","16.4%","0","0%"
"134","3438","類比科","27.5","0","0%","15M04","0.4","0","10.4%","0","0%","0","0","0%","0","0%","0.4","0","10.4%","0","0%"
"135","3527","聚積","61.9","+0.6","+0.98%","15M04","0.42","+4","12.8%","0","0%","0","0","0%","0","0%","0.42","+4","12.8%","0","0%"
"136","4908","前鼎","24.85","+0.1","+0.4%","15M04","1.14","-361","14.7%","0","0%","0","0","0%","0","0%","1.14","-361","14.7%","0","0%"
"137","1215","卜蜂","27.7","+0.05","+0.18%","15M04","3.98","0","16.3%","0","0%","0","0","0%","0","0%","3.98","0","16.3%","0","0%"
"138","8112","至上","15.55","+0.15","+0.97%","15M04","1.71","0","5.95%","0.2","10.5%","0.01","0","0.05%","0","0%","1.72","0","6%","0.2","10.4%"
"139","2904","匯僑","27.9","+0.1","+0.36%","15M04","2.94","0","42.6%","0","0%","0","0","0%","0","0%","2.94","0","42.6%","0","0%"
"140","3689","湧德","60.1","+0.5","+0.84%","15M04","0.58","-650","8.35%","0","0%","0","0","0%","0","0%","0.58","-650","8.35%","0","0%"
"141","5471","松翰","44.75","-0.5","-1.1%","15M04","1.78","-9","10.6%","0.64","30.9%","0","0","0%","0","0%","1.78","-9","10.6%","0.64","30.9%"
"142","1527","鑽全","42","-0.05","-0.12%","15M04","2.78","0","18.2%","0","0%","0","0","0%","0","0%","2.78","0","18.2%","0","0%"
"143","5016","松和","28","-0.1","-0.36%","15M04","1.81","0","36.5%","0","0%","0","0","0%","0","0%","1.81","0","36.5%","0","0%"
"144","3563","牧德","50.8","-0.1","-0.2%","15M04","0.71","+60","16.6%","0","0%","0","0","0%","0","0%","0.71","+60","16.6%","0","0%"
"145","2548","華固","70.1","-0.2","-0.28%","15M04","4.38","+280","15.8%","0","0%","0","0","0%","0","0%","4.38","+280","15.8%","0","0%"
"146","8032","光菱","32.25","+0.3","+0.94%","15M04","3.34","0","64.4%","0.1","2.99%","0","0","0%","0","0%","3.34","0","64.4%","0.1","2.99%"
"147","5519","隆大","16.95","+0.05","+0.3%","15M04","5.34","-54","31%","2.31","43.2%","0","0","0%","0","0%","5.34","-54","31%","2.31","43.2%"
"148","2404","漢唐","35.15","+0.05","+0.14%","15M04","2.85","-10","12%","0","0%","0","0","0%","0","0%","2.85","-10","12%","0","0%"
"149","3040","遠見","42.2","+0.3","+0.72%","15M04","1.98","0","31.5%","0","0%","0.02","-3","0.25%","0","0%","2","-3","31.7%","0","0%"
"150","2867","三商壽","18.3","+0.3","+1.67%","15M04","65.59","0","48.5%","20","30.5%","0","0","0%","0","0%","65.59","0","48.5%","20","30.5%"
"151","2527","宏璟","21.15","+0.05","+0.24%","15M04","7.49","0","27.7%","0.61","8.17%","0","0","0%","0","0%","7.49","0","27.7%","0.61","8.17%"
"152","1909","榮成","12.7","-0.05","-0.39%","15M04","26.73","0","31.9%","2.25","8.41%","0","0","0%","0","0%","26.73","0","31.9%","2.25","8.41%"
"153","2892","第一金","19.05","+0.05","+0.26%","15M04","196","0","21.2%","0.12","0.06%","0","0","0%","0","0%","196","0","21.2%","0.12","0.06%"
"154","2891","中信金","22.9","+0.4","+1.78%","15M04","16.61","0","1.09%","11.37","68.4%","0","0","0%","0","0%","16.61","0","1.09%","11.37","68.4%"
"155","2467","志聖","18.4","+0.2","+1.1%","15M04","0.7","0","4.42%","0","0%","0.04","0","0.25%","0","0%","0.74","0","4.67%","0","0%"
"156","5439","高技","22.65","+0.35","+1.57%","15M04","1.14","0","14.6%","0","0%","0","0","0%","0","0%","1.14","0","14.6%","0","0%"
"157","4984","F-科納","34","-0.05","-0.15%","15M04","1.04","0","23%","0","0%","0","0","0%","0","0%","1.04","0","23%","0","0%"
"158","4999","鑫禾","56.7","-0.2","-0.35%","15M04","2.46","-195","33.1%","0","0%","0","0","0%","0","0%","2.46","-195","33.1%","0","0%"
"159","3211","順達","70.9","+0.4","+0.57%","15M04","1.13","0","7.44%","0","0%","0","0","0.02%","0","0%","1.13","0","7.46%","0","0%"
"160","3388","崇越電","70.9","+0.1","+0.14%","15M04","2.24","0","34.8%","0","0%","0","0","0%","0","0%","2.24","0","34.8%","0","0%"
"161","5538","F-東明","31.2","-0.05","-0.16%","15M04","7.53","0","44.8%","0","0%","0","0","0%","0","0%","7.53","0","44.8%","0","0%"
"162","3272","東碩","121","-4.5","-3.59%","15M04","1.69","0","46.1%","0","0%","0","0","0%","0","0%","1.69","0","46.1%","0","0%"
"163","2109","華豐","17.1","+0.15","+0.88%","15M04","2.73","+18","8.38%","0.78","28.6%","0","0","0%","0","0%","2.73","+18","8.38%","0.78","28.6%"
"164","4952","凌通","39.9","0","0%","15M04","3.86","0","35.5%","0","0%","0","0","0%","0","0%","3.86","0","35.5%","0","0%"
"165","6195","詩肯","71.3","+0.3","+0.42%","15M04","1.5","0","34.2%","0","0%","0.02","-33","0.4%","0","0%","1.52","-33","34.6%","0","0%"
"166","5291","邑昇","25.7","+0.3","+1.18%","15M04","0.8","0","24.2%","0","0%","0","0","0%","0","0%","0.8","0","24.2%","0","0%"
"167","2345","智邦","15.4","+0.1","+0.65%","15M04","2.5","0","4.68%","0.73","29.2%","0","0","0%","0","0%","2.5","0","4.68%","0.73","29.2%"
"168","1312A","國喬特","22.9","+0.05","+0.22%","-","","","","","","","","","","","","","","",""
"169","5215","F-科嘉","42.95","+0.8","+1.9%","15M04","0.54","0","10%","0","0%","0","0","0%","0","0%","0.54","0","10%","0","0%"
"170","3360","尚立","19.35","-0.05","-0.26%","15M04","1.13","0","15.5%","0","0%","0","0","0%","0","0%","1.13","0","15.5%","0","0%"
"171","2480","敦陽科","28.75","0","0%","15M04","1.65","-109","12.4%","0","0%","0","0","0%","0","0%","1.65","-109","12.4%","0","0%"
"172","3305","昇貿","28.75","-0.25","-0.86%","15M04","2.2","-59","18.1%","0.1","4.55%","0","0","0%","0","0%","2.2","-59","18.1%","0.1","4.55%"
"173","5493","三聯","31.7","+0.4","+1.28%","15M04","0.87","+131","20.9%","0.07","8.07%","0","0","0%","0","0%","0.87","+131","20.9%","0.07","8.07%"
"174","2851","中再保","17.3","0","0%","15M04","32.32","-868","57.5%","0","0%","0","0","0%","0","0%","32.32","-868","57.5%","0","0%"
"175","3617","碩天","61.5","+0.1","+0.16%","15M04","1.57","0","19.5%","0","0%","0","0","0%","0","0%","1.57","0","19.5%","0","0%"
"176","6290","良維","26.05","-0.15","-0.57%","15M04","1.37","+109","10.1%","0","0%","0","0","0%","0","0%","1.37","+109","10.1%","0","0%"
"177","6266","泰詠","13.9","-0.1","-0.71%","15M04","0.87","0","10.8%","0","0%","0","0","0%","0","0%","0.87","0","10.8%","0","0%"
"178","2433","互盛電","46.4","0","0%","15M04","9.8","0","67.8%","2.05","20.9%","0","0","0%","0","0%","9.8","0","67.8%","2.05","20.9%"
"179","3416","融程電","58","+0.1","+0.17%","15M04","1.61","+192","26.8%","0","0%","0","0","0%","0","0%","1.61","+192","26.8%","0","0%"
"180","6201","亞弘電","26.15","+0.15","+0.58%","15M04","4.11","0","46.1%","0","0%","0","0","0%","0","0%","4.11","0","46.1%","0","0%"
"181","1787","福盈科","21.8","-1.15","-5.01%","15M04","1.12","0","15.5%","0","0%","0","0","0%","0","0%","1.12","0","15.5%","0","0%"
"182","6271","同欣電","87.2","+0.5","+0.58%","15M04","1.85","0","11.4%","0.02","0.8%","0","0","0%","0","0%","1.85","0","11.4%","0.02","0.8%"
"183","3540","曜越","14.55","+0.5","+3.56%","15M04","1.31","0","20.2%","0","0%","0","0","0%","0","0%","1.31","0","20.2%","0","0%"
"184","5531","鄉林","14.55","-0.15","-1.02%","15M04","23.51","0","29.3%","0","0%","0","0","0%","0","0%","23.51","0","29.3%","0","0%"
"185","8079","誠遠","14.55","0","0%","15M04","0.94","0","11.7%","0","0%","0","0","0.01%","0","0%","0.94","0","11.7%","0","0%"
"186","1451","年興","26.25","-0.1","-0.38%","15M04","11.72","0","29.3%","3.1","26.4%","0","0","0%","0","0%","11.72","0","29.3%","3.1","26.4%"
"187","5425","台半","29.25","0","0%","15M04","1.64","0","6.89%","0","0%","0","0","0%","0","0%","1.64","0","6.89%","0","0%"
"188","3390","旭軟","29.3","+0.05","+0.17%","15M04","1.36","-1","20.7%","0","0%","0","0","0%","0","0%","1.36","-1","20.7%","0","0%"
"189","8410","森田","29.35","+0.45","+1.56%","15M04","0.83","0","22.8%","0","0%","0","0","0%","0","0%","0.83","0","22.8%","0","0%"
"190","3596","智易","32.3","0","0%","15M04","4.24","-120","22.4%","0","0%","0","0","0%","0","0%","4.24","-120","22.4%","0","0%"
"191","5534","長虹","66.1","0","0%","15M04","2.62","0","10%","2.01","67.4%","0","0","0%","0","0%","2.62","0","10%","2.01","67.4%"
"192","8426","F-紅木","44.2","+0.55","+1.26%","15M04","3.02","0","62.5%","0","0%","0","0","0%","0","0%","3.02","0","62.5%","0","0%"
"193","2451","創見","115","-0.5","-0.43%","15M04","7.22","0","16.8%","0.19","2.63%","0","0","0%","0","0%","7.22","0","16.8%","0.19","2.63%"
"194","5426","振發","14.75","+0.15","+1.03%","15M04","2.3","0","16%","0","0%","0","0","0%","0","0%","2.3","0","16%","0","0%"
"195","6105","瑞傳","51.8","-0.8","-1.52%","15M04","0.94","-2,118","8.95%","0","0%","0","0","0%","0","0%","0.94","-2,118","8.95%","0","0%"
"196","8109","博大","63.7","+0.8","+1.27%","15M04","1.41","0","23.4%","0","0%","0","0","0%","0","0%","1.41","0","23.4%","0","0%"
"197","8039","台虹","44.45","-0.45","-1%","15M04","2.05","0","10%","0.58","28.2%","0","0","0%","0","0%","2.05","0","10%","0.58","28.2%"
"198","3167","大量","37.05","-0.15","-0.4%","15M04","1.06","0","14.6%","0","0%","0.01","0","0.09%","0","0%","1.07","0","14.7%","0","0%"
"199","8210","勤誠","44.5","+0.15","+0.34%","15M04","1.65","+9","13.8%","0","0%","0","0","0%","0","0%","1.65","+9","13.8%","0","0%"
"200","2889","國票金","8.76","-0.01","-0.11%","15M04","17.57","0","6.54%","0","0%","0","0","0%","0","0%","17.57","0","6.54%","0","0%"
"201","5349","先豐","46.7","-0.75","-1.58%","15M04","4.3","0","19.2%","0","0%","0","0","0%","0","0%","4.3","0","19.2%","0","0%"
"202","2880","華南金","18.45","+0.1","+0.54%","15M04","236","0","25.3%","0.11","0.04%","0.02","0","0%","0","0%","236","0","25.3%","0.11","0.04%"
"203","2449","京元電","26.8","-0.25","-0.92%","15M04","5.41","-200","4.54%","0","0%","0.02","0","0.01%","0","0%","5.43","-200","4.55%","0","0%"
"204","4305","世坤","26.85","-0.15","-0.56%","15M04","1.68","0","30.6%","0","0%","0","0","0%","0","0%","1.68","0","30.6%","0","0%"
"205","8042","金山電","44.75","-0.1","-0.22%","15M04","1.42","0","13.4%","0","0%","0","0","0%","0","0%","1.42","0","13.4%","0","0%"
"206","6138","茂達","28.35","+0.3","+1.07%","15M04","1.16","0","11.6%","0.21","17.6%","0","0","0%","0","0%","1.16","0","11.6%","0.21","17.6%"
"207","2327","國巨","59.9","+0.1","+0.17%","15M04","5.25","0","7.75%","3.07","58.6%","0","0","0%","0","0%","5.25","0","7.75%","3.07","58.6%"
"208","1540","喬福","22.5","-0.1","-0.44%","15M04","2.03","-10","23.7%","0","0%","0.05","0","0.63%","0","0%","2.08","-10","24.3%","0","0%"
"209","2441","超豐","42","+0.4","+0.96%","15M04","27.05","-140","47.6%","0","0%","0","0","0%","0","0%","27.05","-140","47.6%","0","0%"
"210","5434","崇越","60.2","0","0%","15M04","1.17","-15","7.38%","0.01","1.24%","0","0","0%","0","0%","1.17","-15","7.38%","0.01","1.24%"
"211","6207","雷科","28.05","-0.15","-0.53%","15M04","0.86","0","10.3%","0.33","38.6%","0","0","0%","0","0%","0.86","0","10.3%","0.33","38.6%"
"212","9905","大華","30.25","-0.35","-1.14%","15M04","2.73","0","8.95%","0","0%","0","0","0%","0","0%","2.73","0","8.95%","0","0%"
"213","2615","萬海","30.35","+0.35","+1.17%","15M04","10.67","0","4.81%","0.62","5.81%","0","0","0%","0","0%","10.67","0","4.81%","0.62","5.81%"
"214","2511","太子","12.15","0","0%","15M04","43.36","0","26.1%","0.48","1.11%","0","0","0%","0","0%","43.36","0","26.1%","0.48","1.11%"
"215","3550","聯穎","15.2","+0.2","+1.33%","15M04","0.96","0","11.2%","0","0%","0","0","0%","0","0%","0.96","0","11.2%","0","0%"
"216","4973","廣穎","22.8","+0.1","+0.44%","15M04","1.11","0","17%","0.03","1.99%","0.01","-3","0.16%","0","0%","1.12","-3","17.1%","0.03","1.97%"
"217","5480","統盟","15.2","+0.1","+0.66%","15M04","8.9","0","44.7%","0","0%","0","0","0%","0","0%","8.9","0","44.7%","0","0%"
"218","9943","好樂迪","60.8","+3.9","+6.85%","15M04","2.16","0","14.6%","0.09","4.32%","0","0","0%","0","0%","2.16","0","14.6%","0.09","4.32%"
