"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"222","6277","宏正","87.6","+0.5","+0.57%","15M04","1.4","0","11.7%","0.1","7.16%","0","0","0%","0","0%","1.4","0","11.7%","0.1","7.16%"
"223","9927","泰銘","38.6","0","0%","15M04","5.48","0","26.2%","0","0%","0","0","0%","0","0%","5.48","0","26.2%","0","0%"
"224","3338","泰碩","30.9","-0.25","-0.8%","15M04","1.55","0","22.3%","0","0%","0","0","0%","0","0%","1.55","0","22.3%","0","0%"
"225","3030","德律","66.5","-0.2","-0.3%","15M04","4.51","-19","19.1%","0","0%","0","0","0%","0","0%","4.51","-19","19.1%","0","0%"
"226","1436","華友聯","46.4","-0.2","-0.43%","15M04","1.58","0","26.4%","0.35","22.1%","0","0","0%","0","0%","1.58","0","26.4%","0.35","22.1%"
"227","4527","方土霖","27.85","0","0%","15M04","3.04","-66","40%","0","0%","0","0","0%","0","0%","3.04","-66","40%","0","0%"
"228","4995","晶達","46.5","-0.2","-0.43%","15M04","0.93","0","27.2%","0","0%","0","0","0%","0","0%","0.93","0","27.2%","0","0%"
"229","6024","群益期","26.35","+0.35","+1.35%","15M04","7.18","0","59.9%","0","0%","0","0","0%","0","0%","7.18","0","59.9%","0","0%"
"230","8103","瀚荃","46.5","-0.2","-0.43%","15M04","0.86","0","11%","0","0%","0","0","0%","0","0%","0.86","0","11%","0","0%"
"231","3332","幸康","41.1","-0.45","-1.08%","15M04","2.61","0","54.2%","0","0%","0","0","0%","0","0%","2.61","0","54.2%","0","0%"
"232","4506","崇友","23.3","0","0%","15M04","11.33","0","57.6%","2.93","25.8%","0","0","0%","0","0%","11.33","0","57.6%","2.93","25.8%"
"233","3221","台嘉碩","20.2","+0.35","+1.76%","15M04","0.94","0","10.9%","0","0%","0.01","0","0.06%","0","0%","0.94","0","11%","0","0%"
"234","911619","耀傑","2.81","-0.21","-6.95%","-","","","","","","","","","","","","","","",""
"235","2375","智寶","17.75","0","0%","15M04","1.71","0","18.1%","0.07","4.16%","0","0","0%","0","0%","1.71","0","18.1%","0.07","4.16%"
"236","4703","揚華","54.5","+0.7","+1.3%","15M04","0.77","0","11.7%","0","0%","0","0","0%","0","0%","0.77","0","11.7%","0","0%"
"237","6202","盛群","54.5","0","0%","15M04","2.64","0","11.7%","0","0%","0","0","0%","0","0%","2.64","0","11.7%","0","0%"
"238","6405","悅城","31.15","+0.25","+0.81%","15M04","1.06","0","16.1%","0","0%","0","0","0%","0","0%","1.06","0","16.1%","0","0%"
"239","9941","裕融","80.9","+0.3","+0.37%","15M04","13.81","0","52.3%","0","0%","0","0","0%","0","0%","13.81","0","52.3%","0","0%"
"240","3515","華擎","62.4","+0.8","+1.3%","15M04","5.72","0","49.7%","0","0%","0","0","0%","0","0%","5.72","0","49.7%","0","0%"
"241","1232","大統益","78","-0.5","-0.64%","15M04","10.63","0","66.4%","0","0%","0","0","0%","0","0%","10.63","0","66.4%","0","0%"
"242","3702","大聯大","39","+0.3","+0.78%","15M04","17.24","0","10.4%","2.6","14.7%","0","0","0%","0","0%","17.24","0","10.4%","2.6","14.7%"
"243","4532","瑞智","31.3","0","0%","15M04","19.56","0","41.8%","0","0%","0","0","0%","0","0%","19.56","0","41.8%","0","0%"
"244","6104","創惟","62.6","-0.4","-0.63%","15M04","0.8","-13","8.98%","0","0%","0","0","0%","0","0%","0.8","-13","8.98%","0","0%"
"245","3653","健策","59.5","+0.8","+1.36%","15M04","3.14","0","29.4%","0.37","11.8%","0","0","0%","0","0%","3.14","0","29.4%","0.37","11.8%"
"246","4972","湯石","33.1","+0.3","+0.91%","15M04","0.63","0","17%","0","0%","0","0","0%","0","0%","0.63","0","17%","0","0%"
"247","6154","順發","21.3","-0.15","-0.7%","15M04","1.61","0","20.1%","0","0.08%","0","0","0%","0","0%","1.61","0","20.1%","0","0.08%"
"248","1560","中砂","64.7","+0.4","+0.62%","15M04","1.89","0","13.4%","0","0%","0.02","0","0.16%","0","0%","1.91","0","13.6%","0","0%"
"249","6108","競國","17.4","+0.25","+1.46%","15M04","2.15","0","13.5%","0","0%","0","0","0%","0","0%","2.15","0","13.5%","0","0%"
"250","2884","玉山金","20.65","+0.4","+1.98%","15M04","25.63","0","3.51%","5.31","20.2%","0","0","0%","0","0%","25.63","0","3.51%","5.31","20.2%"
"251","4977","F-眾達","79.2","+0.7","+0.89%","15M04","1.4","0","27.7%","0","0%","0","0","0%","0","0%","1.4","0","27.7%","0","0%"
"252","1595","川寶","71.6","+0.3","+0.42%","15M04","0.66","0","17.1%","0","0%","0","0","0%","0","0%","0.66","0","17.1%","0","0%"
"253","8435","鉅邁","52.6","0","0%","15M04","0.47","0","15.4%","0","0%","0","0","0%","0","0%","0.47","0","15.4%","0","0%"
"254","2459","敦吉","39.85","+0.25","+0.63%","15M04","2.86","0","25.1%","0","0%","0","0","0%","0","0%","2.86","0","25.1%","0","0%"
"255","3055","蔚華科","19.15","-0.25","-1.29%","15M04","1.57","-150","11.9%","0","0%","0","0","0%","0","0%","1.57","-150","11.9%","0","0%"
"256","6274","台燿","25.55","+0.5","+2%","15M04","3.2","-30","13.3%","0","0%","0","0","0.01%","0","0%","3.2","-30","13.3%","0","0%"
"257","4987","科誠","87.9","+2.4","+2.81%","15M04","0.35","0","14.6%","0","0%","0","0","0%","0","0%","0.35","0","14.6%","0","0%"
"258","6210","慶生","64","-1.3","-1.99%","15M04","0.68","0","19.3%","0","0%","0","0","0.08%","0","0%","0.68","0","19.4%","0","0%"
"259","3356","奇偶","102.5","0","0%","15M04","1.02","0","14.6%","0","0%","0","0","0%","0","0%","1.02","0","14.6%","0","0%"
"260","8054","安國","24.05","-0.15","-0.62%","15M04","1.13","0","13.7%","0.06","5.07%","0","0","0%","0","0%","1.13","0","13.7%","0.06","5.07%"
"261","3034","聯詠","160.5","+0.5","+0.31%","15M04","2.79","0","4.59%","0","0%","0","0","0%","0","0%","2.79","0","4.59%","0","0%"
"262","5213","亞昕","17.7","0","0%","15M04","15.91","0","41.6%","6.98","43.8%","0","0","0%","0","0%","15.91","0","41.6%","6.98","43.8%"
"263","4706","大恭","16.1","0","0%","15M04","3.61","0","45.7%","0.35","9.68%","0","0","0%","0","0%","3.61","0","45.7%","0.35","9.68%"
"264","3257","虹冠電","58","0","0%","15M04","0.53","-54","9.51%","0.06","11%","0","0","0%","0","0%","0.53","-54","9.51%","0.06","11%"
"265","1535","中宇","72.6","-0.4","-0.55%","15M04","8.5","0","68.7%","0","0%","0","0","0%","0","0%","8.5","0","68.7%","0","0%"
"266","6508","惠光","32.3","+0.1","+0.31%","15M04","2.25","0","28.9%","0","0%","0","0","0%","0","0%","2.25","0","28.9%","0","0%"
"267","6174","安碁","19.4","-0.15","-0.77%","15M04","1.59","0","31.8%","0","0%","0","0","0%","0","0%","1.59","0","31.8%","0","0%"
"268","2483","百容","21.05","+0.05","+0.24%","15M04","2.08","0","18.4%","0","0%","0","0","0%","0","0%","2.08","0","18.4%","0","0%"
"269","2426","鼎元","14.6","0","0%","15M04","2.44","-190","8.83%","0.17","6.79%","0","0","0%","0","0%","2.44","-190","8.83%","0.17","6.79%"
"270","2636","台驊","29.55","+0.15","+0.51%","15M04","1.99","0","19.6%","0.65","32.7%","0","0","0%","0","0%","1.99","0","19.6%","0.65","32.7%"
"271","3528","安馳","40.65","-0.5","-1.22%","15M04","1.15","-170","20.9%","0","0%","0","0","0%","0","0%","1.15","-170","20.9%","0","0%"
"272","3042","晶技","40.65","-0.2","-0.49%","15M04","2.16","-90","6.96%","0.06","2.55%","0","0","0%","0","0%","2.16","-90","6.96%","0.06","2.55%"
"273","2616","山隆","24.4","-0.05","-0.2%","15M04","3.71","0","32.8%","0.17","4.57%","0","0","0%","0","0%","3.71","0","32.8%","0.17","4.57%"
