"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料年度","政府機構(%)","政府機構增減","僑外投資(%)","僑外投資增減","本國金融機構(%)","本國金融機構增減","本國法人(%)","本國法人增減","本國個人(%)","本國個人增減","庫藏股票(%)","庫藏股票增減"
"1007","5520","力泰","27","0","0%","2015","0%","0","0%","0","2.7%","-0.22","65.6%","+0.8","31.7%","-0.58","0%","0"
"1008","3390","旭軟","29.3","+0.05","+0.17%","2015","0%","0","1%","+0.57","8%","+8.01","16.4%","-1.21","74.6%","-7.37","0%","0"
"1009","6152","百一","11.05","0","0%","2014","0%","-0.64","6.7%","-0.76","0.2%","-4.94","12.6%","+2.96","80.4%","+3.39","0%","0"
"1010","6194","育富","19","+0.15","+0.8%","2014","0%","0","7.6%","+4.6","1.4%","+1.43","12.3%","+3.58","78.7%","-9.61","0%","0"
"1011","5284","F-jpp","56.2","0","0%","2014","0%","","70.8%","","1.2%","","8.7%","","19.2%","","0%",""
"1012","9955","佳龍","18.35","+0.05","+0.27%","2014","0%","0","1%","-0.06","1.4%","0","10.6%","+0.14","87%","-0.08","0%","0"
"1013","1514","亞力","9.41","-0.02","-0.21%","2014","0%","0","7.1%","+2.76","0%","0","11.9%","+4.72","81%","-7.48","0%","0"
"1014","8048","德勝","35.85","+0.15","+0.42%","2014","0%","0","0.8%","+0.37","0%","0","21.2%","-0.59","72.6%","+0.23","5.3%","0"
"1015","4976","佳凌","17.8","+0.1","+0.56%","2014","0%","0","0.1%","-0.35","0.7%","-1.35","30.4%","+2.54","66.9%","-1.76","1.9%","+0.92"
"1016","3290","東浦","18.9","-0.25","-1.31%","2014","0%","0","0.4%","+0.36","9.1%","-2.57","4.6%","+0.02","85.9%","+2.19","0%","0"
"1017","6234","高僑","26.3","-1.9","-6.74%","2014","0%","0","6.3%","+0.79","4.7%","0","21.2%","+2.16","67.8%","-2.95","0%","0"
"1018","6155","鈞寶","22.3","-0.25","-1.11%","2015","0%","0","0.6%","+0.01","6.8%","-1.08","23%","+0.13","69.6%","+0.95","0%","0"
"1019","4207","環泰","11.05","0","0%","2014","0%","0","0.4%","-0.17","10.7%","+8.93","27%","+1.81","62%","-10.6","0%","0"
"1020","3339","泰谷","6.79","+0.1","+1.49%","2014","0%","0","14.6%","-0.89","0.1%","+0.08","46.2%","-0.24","39.1%","+1.06","0%","0"
"1021","1220","台榮","10.55","0","0%","2014","0%","0","6.9%","-1.73","0%","0","26%","-0.56","67.2%","+2.28","0%","0"
"1022","5206","坤悅","12.45","-0.15","-1.19%","2014","0%","0","13%","-0.01","0.2%","0","15.4%","+0.21","71.4%","-0.2","0%","0"
"1023","2413","環科","14.65","+0.25","+1.74%","2014","0%","0","0.3%","+0.23","0%","0","4.8%","+0.1","94.9%","-0.33","0%","0"
"1024","1784","訊聯","37.5","+0.8","+2.18%","2015","0%","-0.01","0.6%","-0.12","0.9%","+0.11","8.9%","+0.2","89.5%","+1.54","0%","-1.7"
"1025","2516","新建","7.86","-0.02","-0.25%","2014","0%","0","2.3%","-2.11","0%","0","5.3%","-0.46","88.1%","+0.68","4.3%","+1.89"
"1026","1410","南染","25.8","-0.1","-0.39%","2014","0%","-0.01","14.3%","-0.23","0%","-0.01","21.8%","-0.39","63.9%","+0.63","0%","0"
