"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料年度","政府機構(%)","政府機構增減","僑外投資(%)","僑外投資增減","本國金融機構(%)","本國金融機構增減","本國法人(%)","本國法人增減","本國個人(%)","本國個人增減","庫藏股票(%)","庫藏股票增減"
"366","2485","兆赫","29.95","+0.05","+0.17%","2014","4.9%","+2.64","8.8%","+1.31","3.5%","+3.19","3.4%","+0.36","79.4%","-7.5","0%","0"
"367","5434","崇越","60.2","0","0%","2014","0.1%","0","15.5%","-4.22","8.1%","+2.93","2.7%","-0.41","73.6%","+1.7","0%","0"
"368","1460","宏遠","20.1","-0.15","-0.74%","2015","1%","+1.02","4.6%","+0.18","3.3%","+3.26","47.9%","-3.56","43.3%","-0.9","0%","0"
"369","9802","F-鈺齊","71.5","-0.6","-0.83%","2014","0%","0","46.1%","-3.99","0.6%","-0.04","4.9%","-1.34","48.3%","+5.37","0%","0"
"370","2062","橋椿","57.7","-0.6","-1.03%","2015","2.3%","-4.85","19.5%","-5.56","19.2%","-0.91","16.8%","+0.02","42.2%","+11.3","0%","0"
"371","1110","東泥","16.4","-0.2","-1.2%","2014","0%","-0.02","3.1%","-0.21","0%","-0.02","78.9%","+1.6","18%","-1.35","0%","0"
"372","8349","恒耀","102","0","0%","2014","0%","0","3.2%","-0.39","1.7%","+1.75","64.3%","-1.74","30.8%","+2.19","0%","-1.81"
"373","3017","奇鋐","26.15","-0.3","-1.13%","2014","0%","-0.04","31.6%","+2.49","1.1%","+0.71","10.8%","-1.48","56.5%","-1.67","0%","0"
"374","1582","信錦","61.6","+0.2","+0.33%","2015","0%","0","22.4%","+4.7","10.3%","+3.85","7.6%","+0.17","59.6%","-8.72","0%","0"
"375","9905","大華","30.25","-0.35","-1.14%","2015","0.1%","-0.07","4.8%","-0.14","8%","-3.31","42.4%","+1.99","44.7%","+1.53","0%","0"
"376","2316","楠梓電","28.9","-0.1","-0.34%","2014","0%","0","10%","-8.7","1.9%","+1.85","13.8%","-0.46","74.3%","+7.31","0%","0"
"377","2368","金像電","16.25","0","0%","2014","0%","0","7.3%","+0.39","0%","-0.06","3.8%","-1.1","88.4%","+1","0.5%","-0.23"
"378","5512","力麒","12.15","-0.05","-0.41%","2014","0%","0","4.3%","-3.1","2.2%","+1.49","37.4%","+2.46","56%","-0.85","0%","0"
"379","1560","中砂","64.7","+0.4","+0.62%","2014","0%","0","13.1%","+1.89","17.4%","+13.1","18.5%","+1.18","51%","-16.2","0%","0"
"380","2328","廣宇","17.55","-0.35","-1.96%","2014","0%","-0.07","10.9%","+0.87","0%","-5.43","35.3%","+5.48","53.7%","-0.84","0%","0"
"381","2014","中鴻","6.33","-0.1","-1.56%","2014","0%","0","4.4%","+0.15","0.7%","+0.04","43.6%","-0.81","51.3%","+0.63","0%","0"
"382","5269","祥碩","159","-1","-0.62%","2014","0%","0","0.2%","+0.19","2.1%","-3.11","57.8%","-2.14","40%","+5.06","0%","0"
"383","8039","台虹","44.45","-0.45","-1%","2014","3.2%","+2.95","34.5%","+4.07","8.6%","+3.77","10%","-0.36","43.6%","-10.4","0%","0"
"384","1447","力鵬","10.4","-0.1","-0.95%","2014","2%","+1.98","6.8%","+0.38","2.2%","+1.27","48.9%","-4.86","40%","+1.24","0.1%","0"
"385","1513","中興電","21.55","+0.05","+0.23%","2014","0%","0","9.2%","+2.64","6.8%","+0.68","25.6%","-4.87","58.4%","+1.55","0%","0"
"386","2499","東貝","28.2","-0.25","-0.88%","2014","3.4%","+3.38","9.7%","+1.71","0%","0","32.5%","+11.3","54.4%","-16.4","0%","0"
"387","2034","允強","24.3","-0.15","-0.61%","2014","1.4%","+1.4","8.7%","+3.41","4.9%","+4.68","26.4%","+1.1","58.6%","-10.6","0%","0"
"388","8255","朋程","120","+0.5","+0.42%","2014","0%","0","5%","+2.71","15.3%","+11.5","23.8%","+3.91","55.4%","-18.1","0.6%","0"
"389","1535","中宇","72.6","-0.4","-0.55%","2015","0%","0","1%","-0.39","0%","0","79%","+0.98","20%","-0.59","0%","0"
"390","9943","好樂迪","60.8","+3.9","+6.85%","2014","1.1%","-0.01","3.1%","-0.61","0.5%","-0.39","56.1%","-2.26","39.3%","+3.27","0%","0"
"391","2841","台開","13.5","-0.2","-1.46%","2014","0.1%","+0.02","8.9%","+0.64","5.6%","-0.62","22.7%","+2.73","57.8%","-0.01","4.9%","-2.77"
"392","2539","櫻花建","37.35","-0.15","-0.4%","2014","0%","0","0.1%","+0.03","0%","0","25.6%","-0.03","74.3%","0","0%","0"
"393","2536","宏普","26.6","+0.1","+0.38%","2014","3.3%","-0.59","29%","-1.4","7.2%","-0.81","40.9%","+3.73","19.7%","-0.93","0%","0"
"394","9951","皇田","118","0","0%","2014","0.2%","+0.24","3.9%","+3.47","11.3%","+8.43","35%","+1.77","49.6%","-13.9","0%","0"
"395","2597","潤弘","65.1","+0.1","+0.15%","2014","0%","+0.04","0.6%","+0.37","1.1%","+0.43","70.3%","+2.58","28%","-3.41","0%","0"
"396","6153","嘉聯益","27","+0.2","+0.75%","2014","2.5%","-2.76","12.5%","+7.24","15%","+0.4","4.7%","-4.46","65.2%","-0.42","0%","0"
"397","3607","谷崧","73.3","-0.3","-0.41%","2014","0.1%","-0.68","8.5%","-0.12","11.2%","+1.64","0.5%","-0.84","79.7%","0","0%","0"
"398","2456","奇力新","68.8","-1.7","-2.41%","2014","0%","0","2.9%","-0.93","7.2%","+5.39","23.6%","-0.71","66.3%","-3.75","0%","0"
"399","2374","佳能","18.4","+0.1","+0.55%","2014","0%","0","15.1%","-1.33","2.2%","-0.68","22.3%","-0.72","60.4%","+2.73","0%","0"
"400","5203","訊連","86.7","-0.1","-0.12%","2014","1.9%","-0.52","16.2%","+0.35","7.8%","-5.83","25.6%","+0.15","48.4%","+5.85","0%","0"
"401","8936","國統","45.9","-0.4","-0.86%","2014","13.7%","+13.7","3.2%","+1.31","17.9%","+17.1","9.2%","+9.05","56.1%","-40.1","0%","-1.02"
"402","8215","明基材","26.7","0","0%","2015","0%","-1.18","3.5%","-0.73","0.1%","-0.65","44.4%","-5.82","52%","+8.39","0%","0"
"403","1580","新麥","179","+1","+0.56%","2014","0.4%","-0.83","33.5%","+16.5","11%","-7.93","10.4%","+0.43","44.6%","-8.19","0%","0"
"404","1310","台苯","16.1","+0.05","+0.31%","2014","0.1%","+0.06","7.4%","+0.41","1.7%","+1.68","13.7%","+0.59","77%","-2.75","0%","0"
"405","2832","台產","23.35","0","0%","2014","0%","0","4.2%","+1.09","23.8%","+0.13","27.7%","+0.68","44.3%","-1.91","0%","0"
"406","2706","第一店","21.65","+0.1","+0.46%","2014","0%","-0.01","3.4%","-0.05","0.1%","-0.14","73.1%","-0.02","23.5%","+0.22","0%","0"
"407","9942","茂順","102","-1","-0.97%","2014","0.6%","+0.53","6.9%","+2.47","11.4%","+7.82","8.1%","-1.59","73%","-9.23","0%","0"
"408","1340","F-勝悅","95.5","-0.3","-0.31%","2014","0%","","78.4%","","1.5%","","9.7%","","10.5%","","0%",""
"409","5490","同亨","88.9","+3.9","+4.59%","2014","0%","0","8.8%","-3.8","0%","0","17.5%","+0.44","73.7%","+3.37","0%","0"
"410","3406","玉晶光","84.1","-0.2","-0.24%","2014","0%","-0.03","15.1%","+0.34","2%","-0.49","7.8%","-0.23","75.1%","+0.41","0%","0"
"411","2404","漢唐","35.15","+0.05","+0.14%","2014","0.2%","+0.15","26.4%","+15","0.3%","-0.62","8.2%","-4.81","64.9%","-9.7","0%","0"
"412","3490","單井","134","-1.5","-1.11%","2014","0%","0","6.6%","+6.58","3%","+2.98","12.5%","+2.2","78%","-11.8","0%","0"
"413","2349","錸德","3.16","-0.06","-1.86%","2014","0%","+0.01","6.4%","+0.73","0%","+0.01","3.4%","+0.27","90%","+0.19","0.1%","-1.2"
"414","2345","智邦","15.4","+0.1","+0.65%","2014","0.1%","-0.22","21%","+3.04","3.4%","+2.89","13.4%","+1.26","62.2%","-6.98","0%","0"
"415","2929","F-淘帝","141.5","+5.5","+4.04%","2014","0%","0","81.5%","-2.57","1.1%","-0.36","1.2%","+0.82","16.1%","+2.11","0%","0"
"416","3611","鼎翰","237.5","+1.5","+0.64%","2014","0%","0","12.2%","+9.19","11.6%","+5.87","41.1%","+1.98","35.1%","-17","0%","0"
"417","3059","華晶科","30.2","+0.05","+0.17%","2014","0.1%","+0.06","19.7%","-0.8","2.2%","+1.74","22.2%","+2.64","53.9%","-0.92","2.1%","-2.73"
"418","6188","廣明","29.15","+0.25","+0.87%","2014","0%","0","6.9%","+3.62","3.9%","+3.8","35.4%","+0.43","53.9%","-7.85","0%","0"
"419","1714","和桐","8.46","+0.42","+5.22%","2014","0%","0","15.7%","+1.43","0%","-0.01","27.7%","-1.19","56.5%","-0.23","0%","0"
"420","9927","泰銘","38.6","0","0%","2014","0%","0","17.5%","-0.24","4.8%","+0.67","31.2%","+0.11","46.4%","-0.54","0%","0"
"421","2497","怡利電","67.8","+0.2","+0.3%","2014","2.1%","+1.94","12.4%","+11.6","8.4%","+6.58","2.7%","-0.95","74.4%","-19.2","0%","0"
"422","6261","久元","63.3","-0.2","-0.31%","2014","0%","-1.26","10.3%","-3.12","9.5%","-4.23","26.7%","+1.54","53.5%","+7.07","0%","0"
"423","4743","合一","45.3","+0.1","+0.22%","2014","0%","0","0.7%","-0.35","0.8%","+0.45","32.3%","-1.07","66.2%","+0.97","0%","0"
"424","2402","毅嘉","23.4","-0.3","-1.27%","2014","2.9%","+2.92","14.1%","+4.82","6.4%","+2.28","8.6%","+1.6","67.9%","-11.6","0%","0"
"425","2612","中航","31.15","-0.2","-0.64%","2014","0%","0","2.5%","-0.68","3.3%","+0.98","60.5%","+0.14","33.7%","-0.44","0%","0"
"426","1321","大洋","35.15","-0.2","-0.57%","2014","0%","0","3.1%","-0.82","5.3%","+2.79","18.9%","+1.46","72.7%","-3.44","0%","0"
"427","5356","協益","61.5","0","0%","2015","0%","0","5.8%","-0.44","0.1%","+0.12","24.3%","-3.82","69.8%","+4.14","0%","0"
"428","2102","泰豐","17.3","0","0%","2014","3.7%","-2.55","7.3%","-0.34","8.6%","+4.91","17.4%","-3.16","63%","+1.13","0%","0"
"429","5305","敦南","25.05","+0.35","+1.42%","2014","0%","0","7.9%","+0.9","2%","-0.34","42.4%","-0.47","47.1%","-0.75","0.7%","+0.67"
"430","2538","基泰","19.15","+0.15","+0.79%","2014","0%","0","14.2%","+0.15","0.8%","-2.1","10.7%","-0.28","74.4%","+2.22","0%","0"
"431","1614","三洋電","29.1","+0.1","+0.34%","2015","0%","-0.26","3.6%","-0.77","3.6%","-0.58","56%","+3.03","36.7%","-1.42","0%","0"
"432","2617","台航","18.6","-0.3","-1.59%","2014","28.6%","-0.06","3%","-0.73","2.9%","+1.15","39.8%","-2.9","25.6%","+2.54","0%","0"
"433","1583","程泰","77.5","-0.6","-0.77%","2014","0%","-0.04","0.7%","+0.63","4%","+3.92","23.1%","-0.24","72.3%","-2.64","0%","-1.63"
"434","4103","百略","70","+0.1","+0.14%","2014","0%","0","44.6%","+1.24","12.5%","-0.63","7.1%","-0.47","35.7%","-0.15","0%","0"
"435","4947","F-昂寶","172","+3","+1.78%","2014","0%","0","33.6%","+4.14","16.9%","+8.87","40.5%","-10.1","7.1%","-2.81","1.9%","-0.06"
"436","9924","福興","40.55","+1.2","+3.05%","2014","0.5%","-0.45","15.1%","+2.05","11.9%","+2.55","37.3%","-2.99","35.2%","-1.16","0%","0"
"437","6230","超眾","88.5","+0.7","+0.8%","2014","1.1%","-0.81","8.3%","+0.48","3.8%","-12.2","4.8%","+0.94","82%","+11.5","0%","0"
"438","2910","統領","36.45","+0.05","+0.14%","2015","0%","0","0.3%","+0.2","0%","0","60.1%","-0.07","39.6%","-0.12","0%","0"
"439","1455","集盛","12.35","+0.25","+2.07%","2015","0%","-0.09","4.5%","+0.8","0.1%","-0.13","11.6%","+2.14","83.8%","-2.72","0%","0"
"440","2850","新產","23.9","-0.1","-0.42%","2014","0.2%","+0.1","4.9%","-0.19","9.9%","+0.2","44.5%","+0.1","40.4%","-0.21","0%","0"
"441","6213","聯茂","23.75","-0.2","-0.84%","2014","0.8%","+0.55","14.7%","+4.04","9.4%","+7.62","32.8%","-1.81","40.8%","-9.49","1.5%","-0.9"
"442","8429","F-金麗","62.4","+0.1","+0.16%","2014","0%","+0.01","67.7%","-8.15","2.8%","+1.49","1.5%","-4.68","28%","+11.3","0%","0"
"443","5274","信驊","287","+5","+1.77%","2014","0%","0","18.6%","+11.3","20.9%","+15.7","33.3%","-6.36","27.3%","-20.7","0%","0"
"444","6115","鎰勝","42.2","+0.2","+0.48%","2014","0%","-0.09","16.1%","+1.17","0.1%","-0.14","27.3%","-1.16","56.4%","+0.23","0%","0"
"445","2475","華映","1.16","+0.01","+0.87%","2014","0%","0","9.3%","-0.64","0%","0","37%","+0.01","53.8%","+0.63","0%","0"
"446","5471","松翰","44.75","-0.5","-1.1%","2014","7.5%","+3.81","13.6%","+3.62","9%","+3.46","8.6%","-1.27","61.3%","-9.62","0%","0"
"447","3437","榮創","50.9","+0.2","+0.39%","2014","0%","","15.3%","","0.8%","","45.9%","","37.9%","","0%",""
"448","4906","正文","24.35","-0.15","-0.61%","2014","0%","-5.78","9.7%","-4.82","4.9%","-4.93","6.4%","-1.04","79%","+16.6","0%","0"
"449","4306","炎洲","14.5","-0.05","-0.34%","2015","0.1%","+0.06","5.1%","-0.88","0%","-0.17","22.9%","-1.44","71.5%","+1.95","0.5%","+0.48"
"450","3062","建漢","22.55","-0.05","-0.22%","2014","0%","-0.05","15.9%","+0.84","2.2%","+2.23","23%","-1.71","58.8%","-1.31","0%","0"
"451","6184","大豐電","53","+0.2","+0.38%","2014","0%","0","3.7%","-0.08","0.9%","-0.65","24.7%","-0.45","70.7%","+1.17","0%","0"
"452","2010","春源","11.4","0","0%","2014","0%","0","4.1%","+0.33","0%","0","12.6%","+0.11","83.3%","-0.44","0%","0"
"453","4141","F-龍燈","48.45","+0.9","+1.89%","2014","0%","-0.22","80.6%","-2.94","1.9%","-0.81","2.5%","+0.56","14.9%","+3.41","0%","0"
"454","8050","廣積","67.7","+0.1","+0.15%","2014","0.6%","+0.6","5.2%","+3.06","14.1%","+6.04","2.8%","+1.36","75.5%","-7.41","1.7%","-3.65"
"455","9926","新海","43.95","+0.25","+0.57%","2014","0%","-0.01","0.3%","+0.02","5.7%","+5.02","61.1%","-5.17","32.9%","+0.13","0%","0"
"456","2420","新巨","48","+0.6","+1.27%","2014","2.3%","+2.13","3.7%","+1.78","16.9%","+16.4","1.6%","+0.38","75.4%","-20.6","0%","0"
"457","5351","鈺創","16.7","0","0%","2014","0%","0","8.2%","+2.78","1.5%","-0.94","3.7%","+1.54","84.1%","-3.29","2.5%","-0.09"
"458","3293","鈊象","104","+0.5","+0.48%","2014","0.6%","+0.57","5.5%","-1.05","14.3%","+0.51","4.2%","+0.01","75.5%","-0.05","0%","0"
"459","3234","光環","69.7","+1.4","+2.05%","2014","0%","-0.77","0.9%","+0.11","1.3%","-12.2","11.5%","-10.2","86.3%","+24.4","0%","-1.33"
"460","4107","邦特","84.5","-0.1","-0.12%","2015","0%","0","6.7%","-3.73","0%","0","32.5%","+5.38","60.9%","-1.64","0%","0"
"461","1808","潤隆","33.45","+0.2","+0.6%","2015","0%","0","0.9%","+0.26","0%","+0.01","59.6%","-5.71","39.4%","+5.44","0%","0"
"462","1708","東鹼","41.3","+0.2","+0.49%","2014","0%","0","13.4%","-0.43","0.4%","-0.74","25.4%","+0.49","60.8%","+0.69","0%","0"
"463","3515","華擎","62.4","+0.8","+1.3%","2014","0.1%","+0.12","1.5%","+0.13","8.3%","+0.03","65.7%","-0.22","24.3%","-0.07","0%","0"
"464","3356","奇偶","102.5","0","0%","2014","2.5%","+1.94","21.4%","+12.6","13.2%","+5.45","16.1%","-0.86","46.8%","-19.1","0%","0"
"465","1715","萬洲","18","+0.2","+1.12%","2015","0.3%","+0.14","11.4%","-7.02","2.8%","-1.09","47.3%","+0.91","38.2%","+7.06","0%","0"
"466","1604","聲寶","13.65","0","0%","2014","0.2%","-0.25","13.4%","+3.65","0.1%","-0.02","19.3%","+8.15","65%","-11","2%","-0.53"
"467","2351","順德","39.3","+0.05","+0.13%","2014","1.1%","+1.08","4.8%","-0.17","6.5%","+4.9","1.3%","+1.19","86.3%","-6.99","0%","0"
"468","8070","長華","93","+0.4","+0.43%","2014","1.2%","-0.65","9.7%","-0.51","3%","-1.52","41.3%","-2.27","44.8%","+4.95","0%","0"
"469","1521","大億","93.7","+0.5","+0.54%","2014","0%","0","37.7%","+2.51","13.4%","+1.69","36.1%","+2.62","12.8%","-6.81","0%","0"
"470","2836","高雄銀","9.64","+0.01","+0.1%","2014","45.4%","+0.04","5%","+0.25","2.6%","-1.38","6.7%","+0.83","40.3%","+0.25","0%","0"
"471","2340","光磊","12.9","-0.1","-0.77%","2014","0.1%","-0.15","19.4%","+2.53","0.5%","+0.39","8.7%","+0.4","71.3%","-3.17","0%","0"
"472","2367","燿華","12.4","-0.05","-0.4%","2014","0.1%","-0.89","13.7%","+3.77","0%","-0.02","15.3%","-0.12","70.4%","-2.58","0.5%","-0.15"
"473","6177","達麗","40.85","-0.2","-0.49%","2014","0%","0","0.6%","+0.07","0.1%","+0.07","67.3%","+1","32%","-1.13","0%","0"
"474","2114","鑫永銓","103.5","0","0%","2015","0.1%","-0.06","2.8%","+0.92","9.9%","-2.67","19.4%","+0.05","67.8%","+1.76","0%","0"
"475","8081","致新","81.1","-0.3","-0.37%","2014","0.1%","-4.31","21.1%","+11.6","13.3%","-1.73","21.5%","+0.03","43.9%","-5.57","0%","0"
"476","5425","台半","29.25","0","0%","2014","0%","0","11.2%","+1.98","15.6%","+12.3","16.9%","+12.4","56.3%","-26.2","0%","-0.41"
"477","3704","合勤控","14.35","-0.1","-0.69%","2014","2.1%","+2.06","6.5%","+0.1","2.9%","+0.31","3.7%","-0.33","84%","-2.13","0.9%","0"
"478","5608","四維航","17.3","-0.2","-1.14%","2014","0%","0","8.6%","+0.56","2.6%","+0.62","31.1%","-1.43","57.7%","+0.24","0%","0"
"479","2926","誠品生","153.5","+1","+0.66%","2014","0%","0","13.2%","-0.21","2.8%","-2.3","60.3%","-0.79","23.7%","+3.3","0%","0"
"480","3514","昱晶","16.95","+1.1","+6.94%","2014","0%","0","8.7%","-1.96","1.1%","+0.07","14.8%","+1.7","75.4%","+0.19","0%","0"
"481","6192","巨路","58.1","+0.1","+0.17%","2014","2%","+1.82","14.2%","+2.01","13.6%","+0.13","23.3%","-1.62","46.8%","-2.34","0%","0"
"482","1773","勝一","45.7","+0.05","+0.11%","2015","0.2%","-0.2","1.5%","-0.56","2.2%","-1","47.5%","-0.02","48.7%","+1.78","0%","0"
"483","2505","國揚","13.6","-0.1","-0.73%","2014","0%","-0.07","9.3%","+2.23","2.6%","-1.53","30.4%","+1.31","57.7%","-1.93","0%","0"
"484","6223","旺矽","86","-0.3","-0.35%","2015","4.8%","+2.14","28.4%","+1.66","6.1%","-10.4","12.2%","-0.38","48.4%","+6.93","0%","0"
"485","2029","盛餘","21.3","0","0%","2014","0.1%","+0.1","67.3%","+0.49","3.2%","+1.14","2.2%","+0.29","27.1%","-2.02","0%","0"
"486","1339","昭輝","89.6","-0.7","-0.78%","2014","0%","0","2.8%","+1.77","0%","0","65.8%","+1.56","31.4%","-3.33","0%","0"
"487","5213","亞昕","17.7","0","0%","2015","0%","-0.02","0.5%","-0.22","2.5%","-2.07","68%","+5.79","28.3%","-2.98","0.7%","-0.5"
"488","1215","卜蜂","27.7","+0.05","+0.18%","2014","0%","0","34.5%","+1.49","1.8%","+1.8","11.2%","-0.03","52.5%","-3.26","0%","0"
"489","6189","豐藝","37.6","-0.05","-0.13%","2014","0%","-0.04","11.6%","-0.59","0.4%","+0.31","4.5%","-0.6","83.5%","+0.92","0%","0"
"490","2406","國碩","21.85","+0.7","+3.31%","2015","0%","-5.58","4.6%","-10.9","1.3%","-2.06","2.4%","-4.94","91.7%","+23.5","0%","0"
"491","2433","互盛電","46.4","0","0%","2014","0.5%","+0.33","1.2%","-3.06","0.5%","-0.9","73.2%","-3.26","24.6%","+6.89","0%","0"
"492","4164","承業醫","51.2","-0.1","-0.19%","2015","0%","0","41.7%","+7.38","0.8%","-0.13","0.7%","-0.88","56.8%","-6.37","0%","0"
"493","1264","德麥","216","-2","-0.92%","2015","0%","","0.3%","","0%","","7.7%","","92%","","0%",""
"494","5392","應華","72.4","+1","+1.4%","2014","0%","0","1.6%","-0.04","0.1%","-0.28","48.1%","-4.65","50.1%","+4.97","0%","0"
"495","4526","東台","26.3","-0.3","-1.13%","2014","1.5%","+1.42","10%","+3.36","2.5%","+1.77","26.1%","-0.17","59.4%","-6.9","0.5%","+0.52"
"496","3519","綠能","15.9","+0.6","+3.92%","2015","0%","0","3.1%","+0.08","0%","0","34.9%","-1.46","62%","+1.39","0%","0"
"497","3561","昇陽科","17.45","+0.75","+4.49%","2014","0%","0","4.1%","+1.23","3.3%","-0.25","19.7%","-0.96","72.8%","-0.02","0%","0"
"498","1527","鑽全","42","-0.05","-0.12%","2014","0%","0","7.3%","+2.72","7.1%","+6.38","21.1%","+1.5","64.5%","-10.6","0%","0"
"499","4725","信昌化","22","-0.3","-1.35%","2014","0%","0","2.4%","-0.95","1.8%","-2.46","54.3%","-0.12","41.6%","+3.53","0%","0"
"500","3049","和鑫","5.46","-0.01","-0.18%","2014","0%","+0.01","5.7%","+0.71","0%","+0.01","19.5%","-0.24","74.8%","-0.48","0%","0"
"501","3653","健策","59.5","+0.8","+1.36%","2014","1.6%","+1.53","4.5%","+1.04","3%","+2.57","57.6%","+0.96","32.8%","-6.11","0.5%","0"
"502","2614","東森","9.12","-0.02","-0.22%","2014","0%","0","3.6%","-0.05","0%","0","20.9%","+0.45","75.4%","-0.4","0%","0"
"503","5457","宣德","37.75","-0.5","-1.31%","2014","0%","0","24.4%","+0.28","1%","+0.33","22%","-1.01","52.7%","+0.4","0%","0"
"504","6281","全國電","63.8","-0.2","-0.31%","2014","0%","0","11.1%","-3.22","15.3%","+3.18","23.9%","-0.6","49.7%","+0.64","0%","0"
"505","6197","佳必琪","36.35","+0.65","+1.82%","2014","0%","0","5.3%","+1.35","0%","-0.03","8.5%","+0.11","86.2%","-1.43","0%","0"
"506","3033","威健","23.3","0","0%","2014","0%","-0.18","4.2%","+0.31","0.1%","-0.09","18.9%","0","76.7%","-0.03","0%","0"
"507","5289","宜鼎","106","-0.5","-0.47%","2014","0%","0","3.6%","-1.22","0.8%","+0.76","19.9%","-1.88","75.7%","+2.34","0%","0"
"508","2387","精元","17.15","+0.15","+0.88%","2014","0.1%","+0.08","32.3%","-1.77","0%","-0.01","11.6%","-1.49","55.5%","+5.22","0.5%","-2.03"
"509","9911","櫻花","22.4","0","0%","2014","0%","0","10.2%","+1.27","10.5%","+6.85","31%","+7.3","48.3%","-15.4","0%","0"
"510","8917","欣泰","50.5","+0.3","+0.6%","2014","24.6%","0","0%","0","0.4%","0","12.1%","+1.49","62.8%","-1.49","0%","0"
"511","6274","台燿","25.55","+0.5","+2%","2014","1.2%","+1.22","18.1%","+11.8","21%","+16.7","9.6%","-4.07","50.1%","-25.7","0%","0"
"512","4736","泰博","89.9","+1.6","+1.81%","2015","0.1%","+0.14","12.9%","+7.2","4%","-0.24","11.3%","-0.39","71.7%","-6.71","0%","0"
"513","9918","欣天然","34","+0.45","+1.34%","2014","25.8%","0","0.4%","+0.06","3.2%","+1.16","31.5%","+0.07","39.1%","-1.28","0%","0"
"514","3266","昇陽","17.4","-0.1","-0.57%","2015","0%","0","0.9%","+0.45","0%","0","69.5%","-0.11","29.6%","-0.34","0%","0"
"515","6180","橘子","38.8","+0.8","+2.11%","2014","0%","0","1.7%","-33.2","1.9%","+0.79","27.6%","+24.9","68.7%","+7.43","0%","0"
"516","5243","F-乙盛","33.85","-0.2","-0.59%","2015","1%","+1.02","67.9%","-7.94","2.7%","-0.54","0.5%","+0.21","27.9%","+7.26","0%","0"
"517","3596","智易","32.3","0","0%","2014","0%","0","10%","+3.51","6.5%","-5.08","37.3%","-4.75","46.2%","+6.32","0%","0"
"518","4935","F-茂林","43.7","-0.15","-0.34%","2014","0.1%","-0.03","27.2%","-5.28","0.3%","-2.56","19.3%","+1.95","45.9%","-1.3","7.2%","+7.21"
"519","3041","揚智","20","0","0%","2015","0%","0","7.7%","-0.02","5.3%","-2.98","9.4%","-0.45","77.6%","+7.12","0%","-3.67"
"520","6224","聚鼎","75.7","+2.8","+3.84%","2014","0%","0","17.9%","+5.17","2.7%","-1.48","20.1%","+0.76","59.2%","-4.45","0%","0"
"521","8083","瑞穎","172","+1.5","+0.88%","2014","0%","0","0.1%","+0.13","5.7%","+5.4","24.3%","-1.77","69.8%","-3.76","0%","0"
"522","4416","三圓","100.5","0","0%","2014","0%","0","0%","-0.04","0%","0","72.7%","-0.87","27.3%","+0.91","0%","0"
"523","8163","達方","18.85","+0.1","+0.53%","2014","0%","0","6.3%","-1.75","3.1%","+0.12","28.9%","-2.67","61.6%","+4.29","0%","0"
"524","1522","堤維西","19.15","-0.25","-1.29%","2014","0%","0","3.6%","-0.01","0.4%","-0.12","50.8%","+3.01","45.2%","-2.44","0%","-0.43"
"525","5227","F-立凱","36.25","-0.3","-0.82%","2014","0%","","23.7%","","3.6%","","22.5%","","50.3%","","0%",""
"526","2701","萬企","15.7","0","0%","2014","0%","-0.03","0.7%","-0.32","0%","-0.02","75.9%","-0.1","23.4%","+0.46","0%","0"
"527","1701","中化","19.9","+0.4","+2.05%","2014","0%","0","6.4%","+0.41","6.6%","-0.39","10.3%","+0.92","76.6%","-0.94","0%","0"
"528","3149","正達","22.05","+0.35","+1.61%","2014","0%","-0.44","10.4%","-1.49","2.4%","-1.68","33.9%","+0.34","53.3%","+3.27","0%","0"
"529","3088","艾訊","75.1","-0.5","-0.66%","2015","0.1%","+0.14","21.1%","+10.7","14.3%","-7.58","28.3%","-0.09","36.2%","-3.13","0%","0"
"530","2436","偉詮電","26.7","-0.1","-0.37%","2014","0%","0","3.2%","-0.39","6.2%","+6.21","10.7%","+6.33","79.9%","-12.1","0%","0"
"531","2729","瓦城","254","+3","+1.2%","2014","0%","0","10.3%","+5.33","8.1%","-0.7","36.7%","-0.52","44.9%","-4.11","0%","0"
"532","4198","環瑞醫","39.1","-0.5","-1.26%","2015","0%","0","43.1%","-0.17","5.5%","+3.49","19.3%","-3.26","32.1%","-0.06","0%","0"
"533","6145","勁永","18.1","+0.8","+4.62%","2015","0%","0","3.9%","-1.12","0%","0","56.1%","+0.01","40%","+1.11","0%","0"
"534","8411","F-福貞","38.75","0","0%","2014","0%","+0.01","62.4%","-10.2","4.5%","+0.44","2.8%","-1.54","30.3%","+11.2","0%","0"
"535","3504","揚明光","51.5","+0.2","+0.39%","2014","0%","-0.06","3.2%","+0.91","6.3%","-1.5","50.4%","-0.07","40.2%","+0.71","0%","0"
"536","8404","F-百和","26.3","0","0%","2014","0%","0","56.4%","-14","5.4%","-1.66","14.5%","+9.74","23.7%","+5.92","0%","0"
"537","4979","華星光","87.1","-1.1","-1.25%","2014","1.9%","-1.68","2.3%","-1.29","15.5%","-18","8.7%","-2.25","71.5%","+23.2","0%","+0.02"
"538","4919","新唐","28.2","-0.05","-0.18%","2014","0%","0","3.7%","-3.25","0.6%","-1.18","67.1%","-2.22","28.6%","+6.65","0%","0"
"539","1608","華榮","9.22","-0.04","-0.43%","2014","0.1%","-0.27","5.5%","+0.16","0%","-0.14","38.7%","+2.26","55.7%","-2.02","0%","0"
