排名,代號,名稱,持股資料年度,政府機構(%),僑外投資(%),本國金融機構(%),本國法人(%),本國個人(%),庫藏股票(%)
21,2207,和泰車,2014,0.1%,23%,0%,64.5%,12.4%,0%
31,3481,群創,2014,0.1%,28.4%,6%,25.3%,40.2%,0%
102,2327,國巨,2014,0.1%,63.2%,1.4%,4.2%,30.5%,0.7%
122,3105,穩懋,2014,0.1%,4.1%,10.3%,11.4%,74.1%,0%
135,1605,華新,2014,0.1%,29.7%,1.8%,10.9%,56.8%,0.7%
137,3044,健鼎,2014,0.1%,45.5%,9.1%,16.9%,28.5%,0%
153,2838,聯邦銀,2014,0.1%,3%,0.2%,77.9%,18.8%,0%
162,2101,南港,2014,0.1%,10.8%,1.7%,38.9%,43.3%,5.2%
182,6116,彩晶,2014,0.1%,11.5%,1.1%,21.4%,65.9%,0%
191,1736,喬山,2015,0.1%,7.2%,2.1%,3.5%,87.1%,0%
218,2607,榮運,2014,0.1%,4.4%,1%,50.2%,44.3%,0%
228,5534,長虹,2014,0.1%,16.6%,9.3%,45.2%,28.8%,0%
230,2331,精英,2015,0.1%,18.5%,0%,48.4%,33%,0%
231,3022,威強電,2014,0.1%,6%,5.9%,11.3%,76.7%,0%
236,2371,大同,2014,0.1%,15.8%,7.4%,14%,62.7%,0%
254,5263,智崴,2015,0.1%,3.4%,4.7%,25.7%,66%,0%
284,3010,華立,2014,0.1%,21%,7.1%,21%,50.8%,0%
292,9908,大台北,2014,0.1%,3.7%,12.4%,44.9%,38.9%,0%
363,3703,欣陸,2014,0.1%,28.7%,0.5%,31.7%,39%,0%
367,5434,崇越,2014,0.1%,15.5%,8.1%,2.7%,73.6%,0%
375,9905,大華,2015,0.1%,4.8%,8%,42.4%,44.7%,0%
391,2841,台開,2014,0.1%,8.9%,5.6%,22.7%,57.8%,4.9%
397,3607,谷崧,2014,0.1%,8.5%,11.2%,0.5%,79.7%,0%
404,1310,台苯,2014,0.1%,7.4%,1.7%,13.7%,77%,0%
414,2345,智邦,2014,0.1%,21%,3.4%,13.4%,62.2%,0%
417,3059,華晶科,2014,0.1%,19.7%,2.2%,22.2%,53.9%,2.1%
449,4306,炎洲,2015,0.1%,5.1%,0%,22.9%,71.5%,0.5%
463,3515,華擎,2014,0.1%,1.5%,8.3%,65.7%,24.3%,0%
471,2340,光磊,2014,0.1%,19.4%,0.5%,8.7%,71.3%,0%
472,2367,燿華,2014,0.1%,13.7%,0%,15.3%,70.4%,0.5%
474,2114,鑫永銓,2015,0.1%,2.8%,9.9%,19.4%,67.8%,0%
475,8081,致新,2014,0.1%,21.1%,13.3%,21.5%,43.9%,0%
485,2029,盛餘,2014,0.1%,67.3%,3.2%,2.2%,27.1%,0%
508,2387,精元,2014,0.1%,32.3%,0%,11.6%,55.5%,0.5%
512,4736,泰博,2015,0.1%,12.9%,4%,11.3%,71.7%,0%
518,4935,F-茂林,2014,0.1%,27.2%,0.3%,19.3%,45.9%,7.2%
529,3088,艾訊,2015,0.1%,21.1%,14.3%,28.3%,36.2%,0%
539,1608,華榮,2014,0.1%,5.5%,0%,38.7%,55.7%,0%
565,1442,名軒,2014,0.1%,2.1%,0.5%,29%,68.5%,0%
576,6702,興航,2015,0.1%,11.9%,7.9%,53.2%,26.9%,0%
611,1733,五鼎,2014,0.1%,7.4%,25.2%,6.3%,60.9%,0%
612,3015,全漢,2014,0.1%,15.1%,2.4%,16%,66.3%,0%
648,2459,敦吉,2014,0.1%,18%,0%,4.9%,77%,0%
650,6191,精成科,2014,0.1%,4.5%,0%,46.8%,48.6%,0%
701,1233,天仁,2014,0.1%,6%,0.6%,34.7%,58.6%,0%
739,4106,雃博,2014,0.1%,1%,0.3%,36.7%,61.9%,0%
893,1809,中釉,2014,0.1%,2.7%,0%,1.3%,96%,0%
968,4527,方土霖,2014,0.1%,4.2%,2.3%,26%,67.4%,0%
969,1466,聚隆,2014,0.1%,0.6%,0.9%,15.5%,83%,0%
1102,5315,光聯,2014,0.1%,0.6%,0%,6.5%,92.7%,0%
1179,4188,安克,2015,0.1%,0.1%,0%,49.4%,50.3%,0%
4,6505,台塑化,2014,0.2%,7.8%,0.9%,88.4%,2.7%,0%
12,2308,台達電,2014,0.2%,75.3%,8.3%,1.4%,14.8%,0%
64,3673,F-TPK,2014,0.2%,53.2%,4%,2.3%,40.3%,0%
81,2353,宏碁,2014,0.2%,21.7%,0.7%,5.3%,69.8%,2.3%
97,1802,台玻,2015,0.2%,10.1%,6.6%,65.2%,17.9%,0%
170,2723,F-美食,2014,0.2%,58.7%,8.6%,3.7%,28.7%,0%
171,2313,華通,2015,0.2%,22.4%,3.7%,7.7%,66.1%,0%
266,1726,永記,2014,0.2%,2.8%,7.5%,29.9%,59.6%,0%
394,9951,皇田,2014,0.2%,3.9%,11.3%,35%,49.6%,0%
411,2404,漢唐,2014,0.2%,26.4%,0.3%,8.2%,64.9%,0%
440,2850,新產,2014,0.2%,4.9%,9.9%,44.5%,40.4%,0%
466,1604,聲寶,2014,0.2%,13.4%,0.1%,19.3%,65%,2%
482,1773,勝一,2015,0.2%,1.5%,2.2%,47.5%,48.7%,0%
578,6107,華美,2014,0.2%,7.3%,1.4%,47.1%,44%,0%
732,1806,冠軍,2014,0.2%,17.9%,0.3%,23.1%,58.4%,0%
754,2509,全坤建,2014,0.2%,2.7%,1.7%,48.3%,47.1%,0%
808,1517,利奇,2014,0.2%,4.7%,1.4%,0.9%,92.8%,0%
40,1101,台泥,2014,0.3%,39.2%,14.3%,26.9%,19.4%,0%
42,2884,玉山金,2014,0.3%,53.4%,7.3%,13%,26%,0%
161,8076,伍豐,2014,0.3%,2.9%,1%,4.2%,90.2%,1.3%
163,2337,旺宏,2014,0.3%,11.2%,1.3%,2.9%,84.2%,0%
172,6414,樺漢,2015,0.3%,16.6%,9%,47.8%,26.4%,0%
174,2206,三陽,2014,0.3%,9%,1.8%,47.8%,41.1%,0%
215,2373,震旦行,2014,0.3%,7.8%,1.9%,67.5%,22.5%,0%
221,1409,新纖,2014,0.3%,11.5%,7.1%,32.7%,44.7%,3.7%
334,1909,榮成,2014,0.3%,12.7%,4%,50.3%,32.4%,0.4%
349,2492,華新科,2014,0.3%,9.9%,0.1%,31%,56.5%,2.3%
465,1715,萬洲,2015,0.3%,11.4%,2.8%,47.3%,38.2%,0%
548,4163,鐿鈦,2015,0.3%,15.5%,16.9%,23.1%,44.2%,0%
758,1530,亞崴,2014,0.3%,2.9%,7.2%,55.9%,33.7%,0%
853,6112,聚碩,2014,0.3%,2.2%,0.1%,4.4%,93%,0%
1114,3570,大塚,2014,0.3%,37.8%,0%,2.4%,59.4%,0%
11,1326,台化,2014,0.4%,35.1%,6.7%,35.9%,21.9%,0%
54,2227,裕日車,2014,0.4%,42%,1.5%,52.1%,4%,0%
67,2542,興富發,2015,0.4%,33.7%,2.5%,37.8%,25.6%,0%
116,2707,晶華,2014,0.4%,27.8%,6.7%,47.9%,17.2%,0%
158,6005,群益證,2015,0.4%,14.7%,7.7%,44%,33.2%,0%
285,1711,永光,2014,0.4%,6.4%,1.2%,3.6%,88.3%,0%
344,1558,伸興,2014,0.4%,10%,11.2%,5%,73.4%,0%
403,1580,新麥,2014,0.4%,33.5%,11%,10.4%,44.6%,0%
684,8021,尖點,2015,0.4%,13.7%,8.7%,14.1%,63.2%,0%
8,1303,南亞,2015,0.5%,29.5%,5.9%,40.1%,24%,0%
136,2501,國建,2014,0.5%,7.6%,15.1%,56.4%,20.5%,0%
194,8422,可寧衛,2014,0.5%,42.3%,12.2%,6.4%,38.7%,0%
199,5007,三星,2014,0.5%,3.3%,7%,62.7%,26.5%,0%
248,2107,厚生,2014,0.5%,18.8%,2.3%,17.9%,60.5%,0%
436,9924,福興,2014,0.5%,15.1%,11.9%,37.3%,35.2%,0%
491,2433,互盛電,2014,0.5%,1.2%,0.5%,73.2%,24.6%,0%
547,3693,營邦,2014,0.5%,7.1%,15.1%,20.9%,56.4%,0%
657,1473,台南,2014,0.5%,12.9%,10.4%,34.4%,40.6%,1.2%
741,2437,旺詮,2014,0.5%,2.7%,6.5%,40.7%,46.3%,3.3%
55,2888,新光金,2014,0.6%,23.9%,2.8%,30.6%,42.1%,0%
79,1434,福懋,2014,0.6%,17.8%,5.7%,57.8%,18.2%,0%
106,8044,網家,2014,0.6%,38.5%,5.6%,20.3%,35%,0%
118,1723,中碳,2015,0.6%,14%,8.2%,43.7%,33.5%,0%
130,2845,遠東銀,2015,0.6%,9.6%,2.6%,51.9%,35.4%,0%
297,1905,華紙,2014,0.6%,2.5%,2.3%,66%,28.6%,0%
407,9942,茂順,2014,0.6%,6.9%,11.4%,8.1%,73%,0%
454,8050,廣積,2014,0.6%,5.2%,14.1%,2.8%,75.5%,1.7%
458,3293,鈊象,2014,0.6%,5.5%,14.3%,4.2%,75.5%,0%
809,2477,美隆電,2014,0.6%,23.3%,0.1%,21.5%,54.5%,0%
892,6449,鈺邦,2015,0.6%,0.6%,0%,34.2%,64.6%,0%
9,1301,台塑,2015,0.7%,34.5%,8.2%,32.9%,23.7%,0%
46,2890,永豐金,2015,0.7%,33.6%,4.7%,25.4%,35.7%,0%
51,9921,巨大,2014,0.7%,54.2%,1.5%,7.1%,36.5%,0%
83,1504,東元,2014,0.7%,49.7%,6.4%,9.5%,33.7%,0%
112,2344,華邦電,2014,0.7%,15.6%,0.5%,28%,55.2%,0%
246,9925,新保,2014,0.7%,18.4%,16.8%,28.1%,36%,0%
259,2489,瑞軒,2014,0.7%,17.5%,3.6%,4.3%,73.3%,0.6%
318,8114,振樺電,2014,0.7%,14.4%,1.5%,26.8%,56.6%,0%
348,1444,力麗,2014,0.7%,6.9%,0.9%,43.8%,47.3%,0.4%
61,2618,長榮航,2014,0.8%,16.4%,7.6%,37.1%,38.1%,0%
105,9917,中保,2014,0.8%,45.4%,3.6%,33.3%,16.9%,0%
203,9940,信義,2015,0.8%,3.4%,4%,59.1%,32.8%,0%
223,6214,精誠,2014,0.8%,12.8%,8.8%,24.1%,53.5%,0%
263,8942,森鉅,2014,0.8%,10.6%,8.3%,6.6%,73.7%,0%
323,1201,味全,2014,0.8%,21%,8.4%,44.5%,25.4%,0%
441,6213,聯茂,2014,0.8%,14.7%,9.4%,32.8%,40.8%,1.5%
686,8996,高力,2014,0.8%,5.5%,16.1%,6.9%,70.7%,0%
946,6205,詮欣,2015,0.8%,3%,0.2%,11.6%,84.4%,0%
53,9910,豐泰,2015,0.9%,14.6%,5.3%,7.9%,71.4%,0%
82,8299,群聯,2014,0.9%,40.8%,17%,2.2%,39.1%,0%
133,2847,大眾銀,2014,0.9%,14.6%,3.9%,53.7%,25.8%,1.2%
208,2608,大榮,2014,0.9%,23.2%,1.2%,45.4%,29.2%,0%
245,5306,桂盟,2014,0.9%,4.7%,4.1%,44.9%,45.4%,0%
332,3211,順達,2014,0.9%,12.6%,15.8%,8.8%,61.8%,0%
6,2454,聯發科,2014,0%,60.5%,8.1%,6.1%,25.3%,0%
15,2891,中信金,2015,0%,47.4%,12.6%,14.1%,25.8%,0%
18,2382,廣達,2015,0%,38%,10.8%,26.1%,25.1%,0%
20,2474,可成,2014,0%,52%,11.8%,12.3%,23.9%,0%
24,2912,統一超,2014,0%,42.6%,0%,53.9%,3.5%,0%
25,2357,華碩,2014,0%,57.1%,9.5%,4.7%,28.7%,0%
27,4938,和碩,2014,0%,35.2%,11.1%,23.9%,29.8%,0%
28,2883,開發金,2014,0%,22.4%,9.4%,17.1%,51.2%,0%
36,2408,南亞科,2014,0%,5.4%,0%,88.4%,6.3%,0%
37,3658,漢微科,2014,0%,53.3%,3.4%,33.7%,9.5%,0%
38,2409,友達,2014,0%,27.5%,9%,15%,48.4%,0%
39,2325,矽品,2014,0%,57.2%,11.3%,11.1%,20.4%,0%
41,2395,研華,2014,0%,39%,2.8%,45.8%,12.3%,0%
50,2324,仁寶,2014,0%,52.7%,7.1%,10.4%,28.5%,1.3%
56,2823,中壽,2014,0%,49.4%,4%,19.1%,27.5%,0%
57,2301,光寶科,2014,0%,47.3%,12.6%,17.6%,22.5%,0%
58,2498,宏達電,2015,0%,22.7%,2.3%,17%,58%,0%
66,2347,聯強,2014,0%,38.1%,16.9%,27.2%,17.8%,0%
70,5264,F-鎧勝,2014,0%,68.6%,11.9%,3%,16.5%,0%
78,2385,群光,2014,0%,39.5%,7.4%,21%,32.1%,0%
80,1227,佳格,2015,0%,19.5%,4.2%,6.7%,69.6%,0%
84,2923,F-鼎固,2015,0%,99.2%,0%,0%,0.7%,0%
85,5903,全家,2014,0%,53.4%,4.5%,27.8%,14.2%,0%
86,4174,浩鼎,2015,0%,7.3%,0%,34.9%,57.8%,0%
91,2451,創見,2014,0%,23.7%,8.6%,55.4%,12.2%,0%
93,1477,聚陽,2014,0%,28.1%,11.6%,9.9%,50.4%,0%
96,2379,瑞昱,2014,0%,45.1%,10.5%,9.6%,34.8%,0%
98,2106,建大,2014,0%,8.2%,9.8%,7.6%,74.5%,0%
100,2059,川湖,2014,0%,30.2%,8.3%,33.4%,28.1%,0%
101,1590,F-亞德,2014,0%,73.4%,7.1%,3.4%,16.1%,0%
103,3189,景碩,2014,0%,26.9%,14.1%,50.4%,8.7%,0%
104,3532,台勝科,2014,0%,48.9%,0.2%,45.8%,5.1%,0%
107,9933,中鼎,2014,0%,49%,21.2%,16.9%,12.9%,0%
108,8454,富邦媒,2015,0%,22.9%,3.5%,60.5%,13.2%,0%
115,8046,南電,2014,0%,10%,2.5%,70.9%,16.6%,0%
117,8150,南茂,2014,0%,68.7%,1.1%,18.7%,11.5%,0%
119,2809,京城銀,2015,0%,27.2%,8.4%,16.8%,47.6%,0%
120,9907,統一實,2014,0%,17.7%,0.4%,63.1%,18.9%,0%
121,5904,寶雅,2015,0%,30.8%,2.7%,45.8%,20.7%,0%
123,1717,長興,2014,0%,12.4%,7.5%,24%,56.1%,0%
124,5530,龍巖,2015,0%,16.1%,0.5%,24%,59.4%,0%
128,2833,台壽保,2014,0%,3.5%,23%,40.7%,32.8%,0%
132,2812,台中銀,2014,0%,6.3%,5.3%,39.6%,48.8%,0%
138,2231,為升,2014,0%,2.5%,7.4%,25.8%,64.4%,0%
140,2849,安泰銀,2015,0%,59.7%,2.7%,35.9%,1.7%,0%
142,2377,微星,2014,0%,28.7%,3.6%,7.5%,60.2%,0%
143,3529,力旺,2014,0%,17.6%,16.6%,15.8%,48.6%,1.4%
144,5820,日盛金,2015,0%,72.7%,7.3%,2.2%,17.8%,0%
145,2362,藍天,2014,0%,22%,4%,22.7%,50.5%,0.9%
146,6409,旭隼,2014,0%,22.4%,0.9%,38.6%,38%,0%
149,1507,永大,2014,0%,53.8%,1.8%,19.2%,25.2%,0%
150,1440,南紡,2014,0%,7.4%,1.8%,21.1%,69.7%,0%
152,2352,佳世達,2014,0%,10.6%,8.3%,15.1%,66%,0%
156,9938,百和,2014,0%,19.5%,17.9%,6.4%,56.2%,0%
159,6286,立錡,2014,0%,29.4%,28.7%,10.9%,31%,0%
164,1314,中石化,2014,0%,18.9%,3.8%,6.9%,70.4%,0%
165,6415,F-矽力,2014,0%,84.1%,6.7%,0.6%,8.6%,0%
166,4966,F-譜瑞,2014,0%,32.5%,6.9%,6%,54.4%,0.2%
167,2015,豐興,2014,0%,22.8%,6.8%,5.2%,65.2%,0%
169,2889,國票金,2014,0%,16%,20.5%,28.8%,32.8%,1.9%
176,2855,統一證,2014,0%,8.6%,2%,60.3%,29%,0%
179,4180,安成藥,2014,0%,59.5%,10.5%,8.5%,21.5%,0%
181,2376,技嘉,2014,0%,33.5%,4.6%,13.7%,48.2%,0%
183,1262,F-綠悅,2014,0%,91.1%,0.8%,4.6%,3.5%,0%
185,3706,神達,2015,0%,8.4%,5.1%,30.9%,55.6%,0%
192,1702,南僑,2014,0%,21.1%,5.8%,23.4%,49.8%,0%
193,3060,銘異,2014,0%,4.6%,0%,1.8%,93.6%,0%
195,2458,義隆,2014,0%,9.1%,12.6%,19.2%,57.3%,1.8%
196,2511,太子,2014,0%,5.6%,0%,47.2%,47.2%,0%
198,2637,F-慧洋,2014,0%,5%,1.9%,24.5%,68.6%,0%
200,1319,東陽,2014,0%,16.3%,5.1%,27.9%,50.7%,0%
202,6605,帝寶,2014,0%,10.3%,9.7%,38.4%,41.6%,0%
204,1795,美時,2015,0%,64.3%,2.5%,0.6%,32.6%,0%
207,1536,和大,2014,0%,19.1%,1.6%,19.1%,60.2%,0%
210,1312,國喬,2015,0%,20.1%,26.9%,24%,29%,0%
211,1229,聯華,2014,0%,10.2%,10.6%,39%,40.2%,0%
212,3576,新日光,2014,0%,7%,7%,32.5%,53.4%,0%
216,2312,金寶,2015,0%,11.2%,3.9%,17.4%,67.4%,0.2%
217,1104,環泥,2014,0%,14.8%,2.6%,36.1%,46.5%,0%
219,9930,中聯資,2014,0%,1.7%,6.3%,74.2%,17.8%,0%
222,1210,大成,2014,0%,7.3%,8.5%,40.4%,43.8%,0%
225,2104,中橡,2014,0%,9.8%,10.4%,34.2%,45.6%,0%
226,1307,三芳,2014,0%,10%,1%,40.6%,48.4%,0%
229,6451,F-訊芯,2015,0%,62.2%,6.9%,2.9%,28%,0%
232,6206,飛捷,2015,0%,25.8%,9.8%,11.1%,53.3%,0%
233,1304,台聚,2014,0%,35.1%,5.5%,13.5%,45.9%,0%
234,1704,榮化,2014,0%,21.6%,17.3%,28.2%,32.9%,0%
235,2856,元富證,2014,0%,4.7%,45.2%,13.2%,34.4%,2.5%
238,6146,耕興,2014,0%,36.9%,6.8%,31.7%,24.6%,0%
240,9939,宏全,2014,0%,10.7%,9.2%,14.6%,65.5%,0%
242,4123,晟德,2015,0%,14.3%,4.2%,27.4%,54%,0%
243,3176,基亞,2014,0%,2%,2%,27.3%,68.7%,0%
244,2820,華票,2014,0%,8.7%,29.9%,5%,56.3%,0%
247,3030,德律,2014,0%,19.3%,11.7%,12.4%,56.5%,0%
249,4401,東隆興,2014,0%,10.7%,13%,17.8%,58.5%,0%
250,1718,中纖,2014,0%,6.7%,0%,34.1%,55.4%,3.7%
252,2023,燁輝,2014,0%,5.1%,0.6%,53.8%,40.4%,0%
253,6412,群電,2014,0%,5.1%,3.7%,61.9%,29.3%,0%
255,1234,黑松,2014,0%,6.9%,0%,38.7%,54.4%,0%
256,3374,精材,2014,0%,16.4%,1.8%,40.4%,41.4%,0%
258,6244,茂迪,2015,0%,5.6%,2.6%,33.1%,58.8%,0%
262,1904,正隆,2014,0%,12.7%,11.3%,26%,50%,0%
264,6271,同欣電,2014,0%,33.5%,19.6%,13.7%,33.1%,0%
265,6282,康舒,2014,0%,29%,10.7%,28.9%,31.4%,0%
268,4137,F-麗豐,2014,0%,86.2%,0%,4.5%,9.3%,0%
269,2605,新興,2014,0%,31.9%,13.3%,7.5%,47.3%,0%
272,2545,皇翔,2014,0%,4.8%,0.7%,55.6%,38.8%,0%
273,8069,元太,2014,0%,8%,3.7%,24.2%,64.1%,0%
274,2514,龍邦,2014,0%,7.1%,8.1%,18.6%,66.2%,0%
276,3264,欣銓,2015,0%,28%,15.6%,15.1%,41.3%,0%
277,2027,大成鋼,2014,0%,8.8%,0%,20.2%,68.5%,2.4%
278,1313,聯成,2014,0%,11.6%,5.3%,48.1%,34.4%,0.6%
280,2547,日勝生,2014,0%,13.1%,0.9%,10.7%,75.4%,0%
281,3152,璟德,2015,0%,10.2%,1.2%,29.4%,59.3%,0%
283,3005,神基,2014,0%,8.1%,0%,37.8%,54.1%,0%
286,3545,敦泰,2015,0%,5%,5.9%,35.4%,53.6%,0%
288,6120,達運,2014,0%,4.7%,0.1%,43.5%,39.9%,11.8%
289,1232,大統益,2014,0%,1%,0%,79.4%,19.6%,0%
290,2520,冠德,2014,0%,12.9%,9.3%,33.2%,44.6%,0%
291,3665,F-貿聯,2014,0%,31.1%,0%,18.7%,50.2%,0%
293,3533,嘉澤,2014,0%,16.5%,6%,35.7%,41.8%,0%
295,8213,志超,2014,0%,16.5%,2.5%,16.8%,62.8%,1.4%
296,3558,神準,2014,0%,4.7%,0%,55.6%,39.7%,0%
298,4994,傳奇,2014,0%,0.6%,0.3%,20.4%,78.7%,0%
299,5287,數字,2014,0%,13.7%,3.6%,49.9%,32.9%,0%
300,2913,農林,2014,0%,9.4%,0.5%,23.5%,66.6%,0%
301,3006,晶豪科,2015,0%,11.2%,0.7%,8.5%,79.5%,0%
303,2439,美律,2014,0%,26.5%,26.6%,10.4%,36.5%,0%
304,1537,廣隆,2014,0%,13.9%,22.2%,8.8%,55.2%,0%
305,1729,必翔,2015,0%,12%,0.8%,5.8%,80.8%,0.5%
307,2329,華泰,2015,0%,16.5%,0.1%,14.8%,68.6%,0%
308,2515,中工,2014,0%,7.5%,2%,20.1%,70.3%,0%
309,9937,全國,2014,0%,8.9%,4%,38.4%,48.6%,0%
311,8086,宏捷科,2014,0%,1.3%,0%,2.8%,95.9%,0%
312,5531,鄉林,2014,0%,3.1%,0%,77.3%,19.6%,0%
313,6023,元大期,2014,0%,11.9%,0.1%,78%,10.1%,0%
314,1419,新紡,2014,0%,3.1%,21.1%,54.6%,21.2%,0%
315,8341,日友,2015,0%,0.7%,5.3%,52.5%,41.5%,0%
316,4536,拓凱,2014,0%,6.4%,3.4%,0.6%,89.5%,0%
319,1532,勤美,2014,0%,8.8%,12%,16%,63.1%,0%
320,3227,原相,2014,0%,8.9%,3.7%,12.1%,71.2%,4%
321,5907,F-大洋,2014,0%,79.2%,7.6%,7.1%,4.9%,1.2%
322,6803,崑鼎,2014,0%,1.9%,15.6%,66.8%,15.7%,0%
324,3662,樂陞,2014,0%,39.1%,4%,14.1%,42.7%,0%
325,3380,明泰,2014,0%,14.6%,8.8%,42.4%,31.6%,2.7%
326,4152,台微體,2014,0%,21.7%,7.3%,17.4%,53.6%,0%
327,3443,創意,2014,0%,2.8%,5.5%,42.2%,49.5%,0%
328,3019,亞光,2014,0%,9.2%,0%,7.2%,83.5%,0%
329,3452,益通,2014,0%,1.9%,0%,53.1%,44.9%,0%
330,5508,永信建,2014,0%,1.4%,0.6%,78.7%,19.3%,0%
331,2908,特力,2014,0%,14.8%,8.4%,24.4%,48.6%,3.8%
333,1103,嘉泥,2015,0%,5.6%,3.3%,50%,41%,0%
335,6278,台表科,2014,0%,23.3%,6.8%,9.2%,60.8%,0%
337,6452,F-康友,2015,0%,69.6%,0.2%,1.1%,29.1%,0%
338,1451,年興,2014,0%,13.9%,14.1%,30.8%,41.1%,0%
339,6277,宏正,2015,0%,11.6%,9%,6.9%,72.5%,0%
340,5349,先豐,2014,0%,5.9%,8.8%,50.4%,34.9%,0%
341,2228,劍麟,2014,0%,3%,10.4%,59.2%,27.4%,0%
342,2108,南帝,2014,0%,2.4%,0%,51.8%,45.8%,0%
345,2731,雄獅,2014,0%,0.4%,0.9%,22.8%,75.9%,0%
346,2704,國賓,2014,0%,10.9%,0.4%,64%,24.6%,0%
347,6257,矽格,2014,0%,24.5%,11.1%,3.9%,59.5%,0.9%
350,3260,威剛,2015,0%,6.4%,1.2%,4%,85.9%,2.5%
351,4128,中天,2014,0%,2.8%,10%,24.3%,62.9%,0%
352,1785,光洋科,2014,0%,5.8%,1.1%,19.6%,72.8%,0.7%
353,1308,亞聚,2014,0%,5.3%,3.7%,41.1%,49.8%,0%
354,2401,凌陽,2014,0%,7.5%,0.6%,4.3%,87.6%,0%
355,2524,京城,2015,0%,3.3%,0%,32.2%,64.5%,0%
358,3026,禾伸堂,2014,0%,10.3%,11.9%,17.5%,60%,0.3%
360,2455,全新,2014,0%,7.6%,1.5%,2.1%,88.8%,0%
361,1903,士紙,2014,0%,12.8%,1.9%,40.9%,44.5%,0%
362,2332,友訊,2014,0%,20.9%,2.6%,9.9%,60.7%,6%
364,4426,利勤,2014,0%,3.6%,0%,22.8%,73.6%,0%
365,2323,中環,2014,0%,11.1%,0.2%,4.4%,84.2%,0%
369,9802,F-鈺齊,2014,0%,46.1%,0.6%,4.9%,48.3%,0%
371,1110,東泥,2014,0%,3.1%,0%,78.9%,18%,0%
372,8349,恒耀,2014,0%,3.2%,1.7%,64.3%,30.8%,0%
373,3017,奇鋐,2014,0%,31.6%,1.1%,10.8%,56.5%,0%
374,1582,信錦,2015,0%,22.4%,10.3%,7.6%,59.6%,0%
376,2316,楠梓電,2014,0%,10%,1.9%,13.8%,74.3%,0%
377,2368,金像電,2014,0%,7.3%,0%,3.8%,88.4%,0.5%
378,5512,力麒,2014,0%,4.3%,2.2%,37.4%,56%,0%
379,1560,中砂,2014,0%,13.1%,17.4%,18.5%,51%,0%
380,2328,廣宇,2014,0%,10.9%,0%,35.3%,53.7%,0%
381,2014,中鴻,2014,0%,4.4%,0.7%,43.6%,51.3%,0%
382,5269,祥碩,2014,0%,0.2%,2.1%,57.8%,40%,0%
385,1513,中興電,2014,0%,9.2%,6.8%,25.6%,58.4%,0%
388,8255,朋程,2014,0%,5%,15.3%,23.8%,55.4%,0.6%
389,1535,中宇,2015,0%,1%,0%,79%,20%,0%
392,2539,櫻花建,2014,0%,0.1%,0%,25.6%,74.3%,0%
395,2597,潤弘,2014,0%,0.6%,1.1%,70.3%,28%,0%
398,2456,奇力新,2014,0%,2.9%,7.2%,23.6%,66.3%,0%
399,2374,佳能,2014,0%,15.1%,2.2%,22.3%,60.4%,0%
402,8215,明基材,2015,0%,3.5%,0.1%,44.4%,52%,0%
405,2832,台產,2014,0%,4.2%,23.8%,27.7%,44.3%,0%
406,2706,第一店,2014,0%,3.4%,0.1%,73.1%,23.5%,0%
408,1340,F-勝悅,2014,0%,78.4%,1.5%,9.7%,10.5%,0%
409,5490,同亨,2014,0%,8.8%,0%,17.5%,73.7%,0%
410,3406,玉晶光,2014,0%,15.1%,2%,7.8%,75.1%,0%
412,3490,單井,2014,0%,6.6%,3%,12.5%,78%,0%
413,2349,錸德,2014,0%,6.4%,0%,3.4%,90%,0.1%
415,2929,F-淘帝,2014,0%,81.5%,1.1%,1.2%,16.1%,0%
416,3611,鼎翰,2014,0%,12.2%,11.6%,41.1%,35.1%,0%
418,6188,廣明,2014,0%,6.9%,3.9%,35.4%,53.9%,0%
419,1714,和桐,2014,0%,15.7%,0%,27.7%,56.5%,0%
420,9927,泰銘,2014,0%,17.5%,4.8%,31.2%,46.4%,0%
422,6261,久元,2014,0%,10.3%,9.5%,26.7%,53.5%,0%
423,4743,合一,2014,0%,0.7%,0.8%,32.3%,66.2%,0%
425,2612,中航,2014,0%,2.5%,3.3%,60.5%,33.7%,0%
426,1321,大洋,2014,0%,3.1%,5.3%,18.9%,72.7%,0%
427,5356,協益,2015,0%,5.8%,0.1%,24.3%,69.8%,0%
429,5305,敦南,2014,0%,7.9%,2%,42.4%,47.1%,0.7%
430,2538,基泰,2014,0%,14.2%,0.8%,10.7%,74.4%,0%
431,1614,三洋電,2015,0%,3.6%,3.6%,56%,36.7%,0%
433,1583,程泰,2014,0%,0.7%,4%,23.1%,72.3%,0%
434,4103,百略,2014,0%,44.6%,12.5%,7.1%,35.7%,0%
435,4947,F-昂寶,2014,0%,33.6%,16.9%,40.5%,7.1%,1.9%
438,2910,統領,2015,0%,0.3%,0%,60.1%,39.6%,0%
439,1455,集盛,2015,0%,4.5%,0.1%,11.6%,83.8%,0%
442,8429,F-金麗,2014,0%,67.7%,2.8%,1.5%,28%,0%
443,5274,信驊,2014,0%,18.6%,20.9%,33.3%,27.3%,0%
444,6115,鎰勝,2014,0%,16.1%,0.1%,27.3%,56.4%,0%
445,2475,華映,2014,0%,9.3%,0%,37%,53.8%,0%
447,3437,榮創,2014,0%,15.3%,0.8%,45.9%,37.9%,0%
448,4906,正文,2014,0%,9.7%,4.9%,6.4%,79%,0%
450,3062,建漢,2014,0%,15.9%,2.2%,23%,58.8%,0%
