排名,代號,名稱,持股資料年度,政府機構(%),僑外投資(%),本國金融機構(%),本國法人(%),本國個人(%),庫藏股票(%)
1418,4550,長佳,-,0%,0%,0%,0%,0%,0%
1419,4304,勝昱,2014,0%,0%,0%,26.7%,73.3%,0%
1420,9949,琉園,2014,0%,0.1%,0%,2.2%,93.6%,4.1%
1421,2471,資通,2015,0%,0.3%,0%,6.1%,93.6%,0%
1422,6287,元隆,2014,0%,8.4%,0%,55.1%,36.5%,0%
1423,3268,海德威,2014,0%,0.2%,0%,10.8%,89%,0%
1424,3441,聯一光,2014,0%,0.4%,0%,7.5%,92.1%,0%
1425,1413,宏洲,2014,0%,0.3%,0%,17.5%,82.2%,0%
1426,6144,得利影,2014,0%,35.7%,0%,57.3%,7%,0%
1427,8111,立碁,2014,0%,0.1%,0%,4.8%,95.1%,0%
1428,4735,豪展,2014,0%,0%,0%,9.3%,90.7%,0%
1429,4160,創源,2015,0%,0%,0%,22%,78%,0%
1430,9960,邁達康,2014,0%,0.2%,0%,12.5%,87.3%,0%
1431,1333,恩得利,2014,0%,0.5%,13.6%,5.8%,80%,0%
1432,3066,李洲,2014,0%,0%,0%,24.8%,75.2%,0%
1433,3516,亞帝歐,2014,0%,4.2%,7.7%,24.6%,60.6%,2.9%
1434,2028,威致,2014,0%,1.4%,6.1%,15.6%,76.9%,0%
1435,6240,松崗,2014,0%,0%,0%,87.9%,12.1%,0%
1436,1526,日馳,2014,0%,0.1%,0%,35.3%,64.6%,0%
1437,5450,寶聯通,2015,0%,0%,0%,38.2%,61.8%,0%
1438,1516,川飛,2014,0%,0%,0%,26.6%,73.4%,0%
1439,3632,研勤,2015,0%,0.6%,0.3%,0.6%,95.4%,3%
1440,3646,艾恩特,2014,0%,18%,2.2%,5.7%,74%,0%
1441,1336,台翰,2014,0%,0.1%,3.6%,20.3%,74.5%,1.4%
1442,3252,海灣,2014,0%,6.4%,0%,36.8%,56.8%,0%
1443,6222,上揚,2014,0%,22.8%,0%,10.4%,66.8%,0%
1444,5212,凌網,2014,0%,0.2%,0%,7%,92.7%,0%
1445,3379,彬台,2015,0%,2.1%,0%,42.3%,55.6%,0%
1446,5344,立衛,2015,0%,0%,0%,71%,28.9%,0%
1447,6122,擎邦,2014,0%,1.8%,0%,15.7%,82.4%,0%
1448,6419,京晨科,2014,0%,21.5%,2.3%,21.9%,54.2%,0%
1449,5488,松普,2014,0%,2.2%,0%,0.3%,97.5%,0%
1450,3557,嘉威,2014,0%,0.1%,0%,4.4%,95.6%,0%
1451,5210,寶碩,2014,0%,0%,0%,20.8%,73.4%,5.8%
1452,9912,偉聯,2015,0%,16.8%,3%,1.2%,79%,0%
1453,8176,智捷,2014,0%,0.5%,0%,22.3%,77.2%,0%
1454,2230,泰茂,2014,0%,0%,0.3%,28.1%,71.6%,0%
1455,6134,萬旭,2015,0%,24.8%,0%,21.9%,53.3%,0%
1456,8171,天宇,2014,0%,0.8%,0.7%,10.9%,85.1%,2.6%
1457,1438,裕豐,2014,0%,0.4%,0%,21.1%,78.5%,0%
1458,1805,寶徠,2014,0%,0.1%,0%,10.8%,89.1%,0%
1459,8024,佑華,2014,0%,0.4%,0%,4.8%,86.6%,8.2%
1460,3284,太普高,2014,0%,0.3%,3.2%,5.5%,86%,4.9%
1461,3511,矽瑪,2014,0%,7.6%,0%,27.5%,64.9%,0%
1462,2491,吉祥全,2014,0%,0.1%,0%,9.7%,90.3%,0%
1463,3521,鴻翊,2015,0%,0%,0%,16%,84%,0%
1464,6228,全譜,2014,0%,0%,0%,50.2%,49.8%,0%
1465,3043,科風,2014,0%,3.8%,7.7%,0.8%,87.6%,0%
1466,8047,星雲,2015,0%,1.2%,0%,24.4%,74.4%,0%
1467,1538,正峰新,2014,0%,1.1%,0%,4.2%,94.7%,0%
1468,6276,安鈦克,2014,0%,7.4%,0%,53.8%,38.2%,0.6%
1469,3522,宏森,2014,0%,0.5%,0%,8.8%,90.7%,0%
1470,1732,毛寶,2015,0%,0.9%,0%,15.5%,83.6%,0%
1471,2429,銘旺科,2014,0%,1%,0%,38.1%,60.9%,0%
1472,3625,西勝,2014,0%,12.3%,0%,1.8%,85.9%,0%
1473,5364,易福,2015,0%,0.1%,0%,46.8%,53.1%,0%
1474,6169,昱泉,2014,0%,0.1%,0%,0.3%,99.6%,0%
1475,5468,凱鈺,2014,0%,0%,1.9%,51.1%,47%,0%
1476,5345,天揚,2014,0%,0%,0%,2.1%,97.9%,0%
1477,3492,長盛,-,0%,0%,0%,0%,0%,0%
1478,3115,寶島極,2014,0%,0%,0%,0.7%,99.3%,0%
1479,2364,倫飛,2014,0%,0.4%,0%,14.3%,85.2%,0%
1480,6246,臺龍,2015,0%,0.1%,0%,16.3%,83.6%,0%
1481,8092,建暐,2014,0%,0.4%,0%,25%,74.6%,0%
