"1533","車王電","21.74","0.95","2.20"
"1535","中宇","13.71","5.97","2.56"
"1536","和大","22.94","3.02","5.04"
"1537","廣隆","15.33","5.24","3.33"
"1538","正峰新","-","0.00","0.81"
"1539","巨庭","9.63","4.60","1.53"
"1540","喬福","9.54","6.29","1.33"
"1541","錩泰","9.95","8.34","1.55"
"1558","伸興","12.70","5.17","2.61"
"1560","中砂","13.67","6.48","2.33"
"1568","倉佑","17.52","2.53","1.43"
"1582","信錦","11.82","6.67","1.82"
"1583","程泰","12.89","3.96","2.59"
"1589","F-永冠","19.53","3.41","2.46"
"1590","F-亞德","22.81","2.24","4.08"
"1592","F-英瑞","21.14","2.83","1.17"
"1603","華電","13.58","0.00","0.62"
"1604","聲寶","10.80","7.41","0.89"
"1605","華新","14.14","0.00","0.51"
"1608","華榮","-","7.17","0.53"
"1609","大亞","161.50","3.10","0.51"
"1611","中電","-","0.00","0.89"
"1612","宏泰","13.64","5.71","0.69"
"1613","台一","-","0.00","0.48"
"1614","三洋電","33.74","2.59","1.52"
"1615","大山","15.07","2.69","0.84"
"1616","億泰","-","0.00","0.86"
"1617","榮星","24.12","3.77","0.69"
"1618","合機","-","0.00","0.51"
"1626","F-艾美","-","8.79","1.20"
"1701","中化","17.22","2.98","1.10"
"1702","南僑","17.70","3.11","3.30"
"1704","榮化","-","2.40","1.24"
"1707","葡萄王","22.44","3.26","6.89"
"1708","東鹼","11.11","4.83","1.55"
"1709","和益","29.77","4.69","0.89"
"1710","東聯","195.38","3.94","1.33"
"1711","永光","23.84","3.62","1.85"
"1712","興農","11.50","5.22","1.11"
"1713","國化","27.70","3.25","1.13"
"1714","和桐","-","5.98","0.71"
"1715","萬洲","10.28","8.68","1.02"
"1717","長興","14.89","5.37","1.59"
"1718","中纖","11.15","0.00","0.60"
"1720","生達","17.85","6.70","2.02"
"1721","三晃","126.11","0.00","1.25"
"1722","台肥","17.03","4.13","1.00"
"1723","中碳","15.49","5.65","4.55"
"1724","台硝","51.56","1.21","1.18"
"1725","元禎","15.53","4.32","1.05"
"1726","永記","13.58","4.38","1.82"
"1727","中華化","17.71","5.38","1.42"
"1729","必翔","237.39","2.20","3.30"
"1730","花仙子","15.75","5.04","1.91"
"1731","美吾華","24.84","3.96","1.17"
"1732","毛寶","-","0.00","1.27"
"1733","五鼎","19.10","4.71","2.80"
"1734","杏輝","38.56","2.05","1.90"
"1735","日勝化","15.87","5.04","0.85"
"1736","喬山","9.07","8.85","2.63"
"1737","臺鹽","24.21","3.86","0.89"
"1762","中化生","185.26","1.42","1.74"
"1773","勝一","12.65","5.89","1.74"
"1783","和康生","-","0.00","2.94"
"1786","科妍","-","1.39","4.54"
"1789","神隆","73.04","1.19","3.78"
"1802","台玻","366.67","0.45","1.08"
