
"105年03月 31日  個股日本益比、殖利率及股價淨值比 (依證券代碼排序查詢)"
"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比"
"4551","智伸科","23.93","3.77","2.65"
"4555","氣立","19.14","4.50","1.65"
"4557","F-永新","14.05","6.64","1.92"
"4720","德淵","11.75","5.95","1.25"
"4722","國精化","8.60","8.26","1.49"
"4725","信昌化","-","0.00","0.97"
"4733","上緯","12.67","2.37","3.95"
"4737","華廣","33.14","3.87","1.29"
"4746","台耀","23.37","2.65","1.91"
"4755","三福化","10.51","4.21","0.83"
"4763","F-材料","20.88","4.20","4.00"
"4904","遠傳","20.42","5.20","3.27"
"4906","正文","26.47","2.78","0.64"
"4912","F-聯德","17.90","6.76","2.15"
"4915","致伸","9.41","5.56","1.60"
"4916","事欣科","-","3.85","2.47"
"4919","新唐","14.51","5.49","2.18"
"4927","F-泰鼎","8.69","6.63","1.13"
"4930","燦星網","-","28.99","0.40"
"4934","太極","20.38","2.80","1.27"
"4935","F-茂林","10.21","2.94","1.41"
"4938","和碩","8.21","6.66","1.30"
"4942","嘉彰","-","5.31","0.46"
"4952","凌通","11.90","6.59","2.16"
"4956","光鋐","50.68","4.48","0.55"
"4958","F-臻鼎","7.49","6.25","1.37"
"4960","奇美材","9.66","2.55","0.80"
"4968","立積","26.69","1.85","4.84"
"4976","佳凌","-","2.07","1.12"
"4977","F-眾達","12.27","7.06","2.29"
"4984","F-科納","15.69","6.16","1.45"
"4994","傳奇","250.74","0.37","4.38"
"4999","鑫禾","7.74","8.71","1.21"
"5007","三星","21.12","3.13","3.60"
"5203","訊連","12.77","5.45","1.56"
"5215","F-科嘉","9.05","7.71","1.01"
"5225","F-東科","10.02","7.09","1.53"
"5234","達興","10.96","6.38","1.50"
"5243","F-乙盛","20.65","3.28","1.02"
"5259","清惠","-","0.00","1.09"
"5264","F-鎧勝","10.55","4.11","1.92"
"5269","祥碩","46.27","1.79","7.11"
"5285","界霖","15.36","5.21","1.61"
"5288","F-豐祥","12.52","5.36","2.43"
"5305","敦南","14.16","5.50","0.81"
"5388","中磊","15.17","4.88","2.85"
"5434","崇越","10.17","6.84","1.64"
"5469","瀚宇博","12.35","2.00","0.37"
"5471","松翰","15.22","6.23","1.90"
"5484","慧友","-","0.00","0.48"
"5515","建國","-","5.59","0.56"
"5519","隆大","9.50","9.10","0.83"
"5521","工信","51.04","0.00","1.04"
"5522","遠雄","4.79","9.45","0.71"
"5525","順天","6.74","9.23","0.94"
"5531","鄉林","49.20","8.13","0.99"
"5533","皇鼎","8.00","5.73","0.67"
"5534","長虹","19.67","6.25","1.35"
"5538","F-東明","18.17","3.88","1.24"
"5607","遠雄港","15.57","0.00","0.81"
"5608","四維航","-","8.42","0.56"
"5706","鳳凰","12.75","6.50","2.27"
"5871","F-中租","9.30","5.53","1.69"
"5880","合庫金","12.20","6.94","0.85"
"5906","F-台南","-","0.00","0.92"
"5907","F-大洋","15.34","12.00","0.47"
"6005","群益證","12.91","5.58","0.66"
"6108","競國","125.83","7.28","0.68"
"6112","聚碩","11.39","7.17","1.39"
"6115","鎰勝","11.50","8.97","1.33"
"6116","彩晶","-","0.00","0.42"
"6117","迎廣","-","2.14","0.73"
"6120","達運","-","6.81","0.63"
"6128","上福","10.70","7.58","1.94"
"6131","悠克","-","0.00","0.94"
"6133","金橋","28.57","4.00","0.71"
"6136","富爾特","12.22","8.68","0.99"
"6139","亞翔","32.55","3.01","0.92"
"6141","柏承","-","3.37","0.60"
"6142","友勁","-","0.00","0.49"
"6145","勁永","23.78","2.80","0.71"
"6152","百一","-","0.00","0.80"
"6153","嘉聯益","11.99","4.37","0.88"
"6155","鈞寶","15.41","6.12","1.11"
"6164","華興","22.33","4.98","0.75"
"6165","捷泰","-","0.00","1.05"
"6166","凌華","24.25","3.29","3.78"
"6168","宏齊","-","12.99","0.87"
"6172","互億","33.96","0.00","0.85"
"6176","瑞儀","9.44","8.81","1.19"
"6177","達麗","5.83","24.66","1.10"
"6183","關貿","21.87","4.46","2.01"
"6184","大豐電","20.36","3.79","1.49"
"6189","豐藝","10.85","8.58","1.82"
"6191","精成科","-","0.00","0.35"
"6192","巨路","9.51","6.49","1.30"
"6196","帆宣","9.71","7.41","1.00"
"6197","佳必琪","18.46","7.08","1.32"
"6201","亞弘電","12.01","7.43","1.00"
"6202","盛群","14.71","6.80","2.95"
"6205","詮欣","9.29","6.94","1.29"
"6206","飛捷","15.92","5.38","3.55"
"6209","今國光","-","0.00","0.65"
"6213","聯茂","14.79","5.55","1.27"
"6214","精誠","26.11","8.36","1.12"
"6215","和椿","40.94","1.91","0.95"
"6216","居易","10.49","8.47","1.77"
"6224","聚鼎","10.60","6.96","2.39"
"6225","天瀚","-","0.00","11.37"
"6226","光鼎","-","4.36","0.52"
"6230","超眾","16.99","4.17","3.26"
"6235","華孚","37.93","0.00","1.35"
"6239","力成","14.17","4.79","1.68"
"6243","迅杰","-","0.00","1.58"
"6251","定穎","-","0.00","0.57"
"6257","矽格","11.15","6.74","1.09"
"6269","台郡","8.23","2.49","1.49"
"6271","同欣電","14.54","6.46","1.49"
"6277","宏正","12.66","6.96","2.58"
"6278","台表科","9.32","5.24","0.70"
"6281","全國電","13.50","6.27","2.58"
"6282","康舒","20.66","5.63","1.60"
"6283","淳安","47.20","0.00","0.82"
"6285","啟碁","14.66","4.64","2.33"
"6286","立錡","19.56","3.87","3.75"
"6289","華上","-","0.00","0.76"
"6405","悅城","112.50","11.11","0.63"
"6409","旭隼","26.61","3.06","9.27"
"6412","群電","11.85","6.29","2.08"
"6414","樺漢","31.18","2.33","8.52"
"6415","F-矽力","28.58","0.46","7.45"
"6422","F-君耀","9.73","6.53","1.71"
"6431","F-光麗","-","27.03","0.46"
"6442","光聖","12.27","5.08","1.72"
"6443","元晶","30.82","0.00","1.45"
"6449","鈺邦","9.80","5.56","1.57"
"6451","F-訊芯","9.96","7.21","1.78"
"6452","F-康友","24.86","2.34","4.73"
"6456","F-GIS","15.10","2.78","2.91"
"6464","台數科","18.43","5.12","2.16"
"6504","南六","17.67","2.76","3.86"
"6505","台塑化","18.61","4.32","3.30"
"6605","帝寶","11.16","2.37","1.58"
"6702","興航","-","2.67","0.69"
"8011","台通","616.67","5.51","0.80"
"8016","矽創","13.30","5.36","2.66"
"8021","尖點","9.91","5.82","0.79"
"8033","雷虎","-","0.00","1.31"
"8039","台虹","10.08","5.49","1.10"
"8046","南電","25.53","2.95","0.60"
"8070","長華","6.32","7.65","1.30"
"8072","陞泰","18.41","3.94","0.93"
"8081","致新","13.85","7.13","1.53"
"8101","華冠","-","0.00","0.72"
"8103","瀚荃","22.46","2.60","0.90"
"8105","凌巨","21.63","0.46","1.26"
"8110","華東","30.10","2.33","0.56"
"8112","至上","11.98","7.47","0.81"
"8114","振樺電","17.82","4.92","6.14"
"8131","福懋科","9.08","8.64","1.04"
"8150","南茂","13.51","5.94","1.58"
"8163","達方","10.24","9.30","0.70"
"8201","無敵","-","0.00","0.50"
"8210","勤誠","10.58","5.82","1.97"
"8213","志超","8.58","10.17","0.88"
"8215","明基材","12.47","6.09","1.37"
"8222","寶一","23.52","2.72","2.25"
"8249","菱光","9.70","8.04","0.80"
"8261","富鼎","21.81","3.95","1.56"
"8271","宇瞻","15.17","8.73","1.21"
"8341","日友","29.72","2.55","6.77"
"8374","羅昇","-","0.00","0.79"
"8404","F-百和","16.52","3.47","1.93"
"8411","F-福貞","18.17","2.75","0.69"
"8422","可寧衛","15.78","5.60","3.93"
"8427","F-基勝","12.30","6.74","1.25"
"8429","F-金麗","7.40","2.37","1.24"
"8443","阿瘦","16.01","6.74","0.87"
"8454","富邦媒","28.27","3.27","5.31"
"8463","潤泰材","17.08","4.68","1.35"
"8464","億豐","25.53","3.51","6.20"
"8467","F-波力","17.23","2.89","1.79"
"8926","台汽電","13.42","5.38","1.24"
"8940","新天地","150.00","0.00","1.27"
"8996","高力","27.44","2.64","2.74"
"9802","F-鈺齊","66.32","3.47","1.40"
"9902","台火","94.55","1.92","0.86"
"9904","寶成","12.69","3.66","1.74"
"9905","大華","12.28","5.41","1.19"
"9906","欣巴巴","24.84","0.00","1.43"
"9907","統一實","40.54","2.13","1.26"
"9908","大台北","19.17","4.31","1.18"
"9910","豐泰","24.05","3.63","7.79"
"9911","櫻花","10.29","6.68","1.25"
"9912","偉聯","-","11.12","0.85"
"9914","美利達","14.01","4.77","3.32"
"9917","中保","19.87","4.30","3.84"
"9918","欣天然","22.68","3.83","1.96"
"9919","康那香","55.71","2.56","0.76"
"9921","巨大","18.15","3.33","3.43"
"9924","福興","10.64","6.24","1.69"
"9925","新保","14.20","4.99","1.74"
"9926","新海","21.98","4.08","2.58"
"9927","泰銘","12.56","6.63","1.37"
"9928","中視","-","0.00","1.58"
"9929","秋雨","-","0.00","2.08"
"9930","中聯資","16.22","5.41","3.35"
"9931","欣高","19.43","3.26","1.88"
"9933","中鼎","15.72","5.67","1.89"
"9934","成霖","10.85","7.79","0.76"
"9935","慶豐富","22.61","0.00","1.47"
"9937","全國","22.80","3.86","2.55"
"9938","百和","25.17","2.07","3.94"
"9939","宏全","14.43","4.28","1.15"
"9940","信義","30.84","2.55","1.89"
"9941","裕融","13.95","6.39","2.16"
"9942","茂順","16.11","4.88","2.51"
"9943","好樂迪","8.26","7.13","2.25"
"9944","新麗","39.02","1.26","0.86"
"9945","潤泰新","7.07","0.00","1.97"
"9946","三發","5.32","2.73","0.85"
"9955","佳龍","-","0.00","0.62"
"9958","世紀鋼","10.29","2.86","0.83"
""說明： <font color="#FF0000" style="background-color: #FFFF00"><b>本網頁資料僅供研究參考用途，任何資料均不應視為對買賣證券之投資建議。</b></font>
本網頁資料推計基礎如下：
1. 本益比 = 收盤價／每股參考稅後純益，其中每股參考稅後純益 = 該公司稅後參考純益／發行參考股數，當每股參考稅後純益為0或負數時，則不計算本益比。以上純益資料採用各上市公司於公開資訊觀測站過去已申報格式化之近滿4季財務報告為計算基礎。依據一般公認會計準則，若新設控股公司非於1月1日設立，該公司申報全年度合併財務報表採用自設立日起編製，未追溯自年初編製，當遇有上開公司在計算其「本益比」時，仍採用該公司申報資料計算。例如合庫金控(5880)於100年12月1日設立，在上市初期該公司「本益比」所採計之最近四季稅後純益為自成立以來迄至100年底之稅後純益計算，特此說明。 
2. 殖利率 = 每股股利／收盤價*100%，其中每股股利採用該公司近期每股配發之盈餘分配之現金股利(元/股) + 法定盈餘公積、資本公積發放之現金 (元/股) + 盈餘轉增資股票股利(元/股)為計算基礎。 
3. 股價淨值比 = 收盤價／每股參考淨值，其中每股參考淨值採用公開資訊觀測站公告之最近一季每股參考淨值，於102年5月中旬之前採用該公司最近一季淨值除以除權變動之採樣股數為推計基礎。 
4. 本網頁所採用發行參考股數是以公開資訊觀測站公告最近一季財務報表之淨值及每股參考淨值為推計基礎，於102年5月中旬之前採用除權變動之採樣股數為推計基礎。上市公司於公開資訊觀測站未申報格式化之財務報告或未齊全者，不計算本益比及股價淨值比或以其申報及相關資料推計。以上本網頁所採用之財務及股利相關資料為計算當時公開資訊觀測站已公告申報格式化之資料，而非同期即時資訊，且不作回溯計算，謹此說明。當日若無收盤價則以本公司營業細則第58-3條第2項第2款之原則所決定價格替代。


