
"105年03月 31日  個股日本益比、殖利率及股價淨值比 (依證券代碼排序查詢)"
"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比"
"2358","廷鑫","-","0.00","1.53"
"2359","所羅門","7.58","6.13","0.61"
"2360","致茂","21.10","3.47","2.77"
"2362","藍天","18.27","3.79","0.39"
"2363","矽統","338.00","0.00","0.58"
"2364","倫飛","-","0.00","0.58"
"2365","昆盈","31.22","8.01","0.69"
"2367","燿華","12.04","5.93","0.67"
"2368","金像電","47.11","0.00","0.68"
"2369","菱生","-","2.82","0.57"
"2371","大同","-","0.00","0.40"
"2373","震旦行","14.75","5.66","2.39"
"2374","佳能","8.14","0.00","0.66"
"2375","智寶","19.71","8.51","0.48"
"2376","技嘉","11.64","7.61","0.99"
"2377","微星","11.29","6.05","1.63"
"2379","瑞昱","18.40","6.78","2.01"
"2380","虹光","-","0.00","0.47"
"2382","廣達","12.14","7.12","1.63"
"2383","台光電","8.14","7.01","2.01"
"2385","群光","14.35","5.25","2.47"
"2387","精元","5.93","2.50","0.59"
"2388","威盛","5.87","0.00","2.01"
"2390","云辰","25.74","0.96","1.68"
"2392","正崴","13.23","4.69","0.85"
"2393","億光","12.70","5.60","1.34"
"2395","研華","29.27","2.54","6.41"
"2397","友通","15.75","5.78","1.87"
"2399","映泰","-","0.00","0.56"
"2401","凌陽","13.10","6.79","0.81"
"2402","毅嘉","106.88","11.99","0.79"
"2404","漢唐","9.75","7.84","1.96"
"2405","浩鑫","-","0.00","0.85"
"2406","國碩","2740.00","0.00","1.52"
"2408","南亞科","5.66","7.01","1.77"
"2409","友達","18.96","3.62","0.51"
"2412","中華電","19.84","5.01","2.30"
"2413","環科","10.42","3.64","0.86"
"2414","精技","11.99","7.55","1.07"
"2415","錩新","16.52","5.90","0.78"
"2417","圓剛","-","1.06","0.60"
"2419","仲琦","20.75","3.61","1.51"
"2420","新巨","10.54","5.58","2.43"
"2421","建準","13.76","6.12","1.53"
"2423","固緯","11.01","6.49","1.22"
"2424","隴華","-","0.00","1.94"
"2425","承啟","11.20","1.93","1.15"
"2426","鼎元","12.50","7.16","1.16"
"2427","三商電","35.06","1.58","0.56"
"2428","興勤","9.85","4.73","1.48"
"2429","銘旺科","-","0.00","1.13"
"2430","燦坤","12.37","5.42","0.82"
"2431","聯昌","46.09","1.83","0.99"
"2433","互盛電","12.75","7.05","1.89"
"2434","統懋","-","0.00","0.94"
"2436","偉詮電","43.27","2.10","1.89"
"2437","旺詮","9.34","7.63","1.03"
"2438","翔耀","217.86","0.00","2.74"
"2439","美律","15.67","8.73","1.73"
"2440","太空梭","-","0.00","1.02"
"2441","超豐","10.61","6.52","1.52"
"2442","新美齊","25.75","1.29","0.55"
"2443","新利虹","-","0.00","0.52"
"2444","友旺","48.17","1.04","1.35"
"2448","晶電","-","3.57","0.47"
"2449","京元電","14.59","4.20","1.49"
"2450","神腦","13.33","3.61","1.87"
"2451","創見","13.30","6.83","2.09"
"2453","凌群","17.46","4.41","0.66"
"2454","聯發科","14.88","8.91","1.61"
"2455","全新","23.13","3.87","3.81"
"2456","奇力新","13.45","5.40","2.00"
"2457","飛宏","-","4.09","0.58"
"2458","義隆","19.44","5.19","2.26"
"2459","敦吉","9.18","7.55","0.78"
"2460","建通","-","2.11","0.54"
"2461","光群雷","11.69","3.45","0.76"
"2462","良得電","10.51","1.14","0.85"
"2464","盟立","12.67","6.09","2.01"
"2465","麗臺","20.92","0.00","1.67"
"2466","冠西電","-","0.00","2.80"
"2467","志聖","-","8.20","1.15"
"2468","華經","12.96","4.76","0.67"
"2471","資通","17.69","7.07","0.93"
"2472","立隆電","11.60","4.91","1.59"
"2474","可成","8.10","2.27","1.76"
"2475","華映","-","0.00","1.27"
"2476","鉅祥","10.98","6.36","0.97"
"2477","美隆電","11.15","8.09","0.97"
"2478","大毅","17.58","1.20","0.81"
"2480","敦陽科","13.24","7.48","1.28"
"2481","強茂","12.98","5.37","0.86"
"2482","連宇","61.20","0.98","1.14"
"2483","百容","10.69","6.99","0.86"
"2484","希華","12.81","5.61","1.17"
"2485","兆赫","23.50","3.20","2.67"
"2486","一詮","-","8.06","0.50"
"2488","漢平","12.08","6.11","1.60"
"2489","瑞軒","8.68","9.60","1.05"
"2491","吉祥全","16.28","0.00","0.99"
"2492","華新科","11.98","1.15","1.05"
"2493","揚博","10.24","8.95","1.35"
"2495","普安","16.00","5.36","1.11"
"2496","卓越","-","0.00","14.00"
"2497","怡利電","21.24","3.99","2.20"
"2498","宏達電","-","0.41","1.18"
"2499","東貝","27.14","1.75","0.83"
"2501","國建","10.25","6.97","0.94"
"2504","國產","944.00","4.24","0.60"
"2505","國揚","20.34","0.83","0.94"
"2506","太設","45.78","1.37","0.85"
"2509","全坤建","6.05","4.96","1.01"
"2511","太子","8.66","9.21","0.78"
"2514","龍邦","43.84","1.06","1.30"
"2515","中工","18.68","3.15","0.49"
"2516","新建","12.70","4.37","0.52"
"2520","冠德","14.01","6.15","0.71"
"2524","京城","29.75","5.51","0.65"
"2527","宏璟","6.77","8.26","0.62"
"2528","皇普","646.00","3.10","0.60"
"2530","華建","6.97","8.86","1.36"
